Geography,"Allocated
Male
Case
Count
(Raw)","COVID-19
Total Male
Rate
(Suppressed)","Allocated
Female
Case
Count
(Raw)","COVID-19
Total Female
Rate
(Suppressed)",Date
Alpine,9.2,115.7,14.6,180.7,7/1/2020
Anza-Borrego Springs,5.1,200.7,6.3,244.7,7/1/2020
Carlsbad,99.5,161.0,112.1,176.1,7/1/2020
Central Region,1563.0,585.5,1702.0,678.5,7/1/2020
Central San Diego,574.7,515.8,509.5,521.2,7/1/2020
Chula Vista,524.0,862.0,590.4,947.6,7/1/2020
City of Carlsbad,86.7,153.7,98.5,169.1,7/1/2020
City of Chula Vista,972.7,735.9,1054.6,779.3,7/1/2020
City of Coronado,33.0,277.2,15.0,153.4,7/1/2020
City of Del Mar,,,,,7/1/2020
City of El Cajon,300.4,576.4,351.5,657.9,7/1/2020
City of Encinitas,64.4,205.6,57.8,181.6,7/1/2020
City of Escondido,257.4,344.1,280.5,365.8,7/1/2020
City of Imperial Beach,95.0,674.8,108.0,766.8,7/1/2020
City of La Mesa,97.4,324.2,113.8,364.7,7/1/2020
City of Lemon Grove,68.0,514.8,88.0,645.9,7/1/2020
City of National City,282.1,865.4,375.3,1265.7,7/1/2020
City of Oceanside,205.4,235.2,216.4,240.3,7/1/2020
City of Poway,39.9,161.6,44.9,176.1,7/1/2020
City of San Diego,3294.9,457.9,3226.1,460.7,7/1/2020
City of San Marcos,121.0,255.6,129.6,267.6,7/1/2020
City of Santee,70.4,254.9,55.7,189.6,7/1/2020
City of Solana Beach,14.4,211.7,7.9,110.4,7/1/2020
City of Vista,144.0,278.8,159.6,308.5,7/1/2020
Coastal,116.3,266.6,143.5,338.9,7/1/2020
Coronado,33.0,277.2,15.0,153.4,7/1/2020
Del Mar-Mira Mesa,172.7,200.0,170.2,201.4,7/1/2020
East Region,1012.0,422.5,1218.0,495.2,7/1/2020
El Cajon,356.5,549.4,430.2,646.6,7/1/2020
Elliott-Navajo,108.2,232.2,97.5,203.2,7/1/2020
Escondido,282.5,330.4,311.8,355.2,7/1/2020
Fallbrook,62.8,261.9,59.2,240.9,7/1/2020
Harbison Crest,30.0,399.6,46.4,606.4,7/1/2020
Harbison Crest-El Cajon,386.4,533.9,476.6,642.5,7/1/2020
Jamul,56.7,576.9,56.9,583.6,7/1/2020
Kearny Mesa,248.3,293.1,244.7,284.4,7/1/2020
La Mesa,100.8,324.5,117.9,365.5,7/1/2020
Laguna-Pine Valley,,,,,7/1/2020
Lakeside,83.4,281.4,111.4,372.2,7/1/2020
Lemon Grove,82.8,545.6,105.5,675.4,7/1/2020
Mid-City,437.5,514.8,506.3,587.8,7/1/2020
Miramar,9.6,251.5,7.4,243.9,7/1/2020
Mountain Empire,22.3,529.2,15.6,391.5,7/1/2020
National City,281.2,869.4,374.7,1275.1,7/1/2020
North Central Region,804.0,240.0,750.0,227.0,7/1/2020
North Coastal Region,578.0,202.2,599.0,216.7,7/1/2020
North County,1311.0,223.9,1395.0,238.8,7/1/2020
North Inland Region,733.0,244.5,796.0,258.6,7/1/2020
North San Diego,105.0,177.1,113.6,184.4,7/1/2020
Oceanside,201.6,241.6,213.2,248.0,7/1/2020
Palomar-Julian,,,,,7/1/2020
Pauma,8.6,211.8,8.6,210.6,7/1/2020
Pendleton,,,,,7/1/2020
Peninsula,110.8,297.8,62.6,191.2,7/1/2020
Poway,71.3,160.8,78.7,171.5,7/1/2020
Ramona,34.8,198.7,40.7,230.7,7/1/2020
San Diego County,6970.0,415.3,7341.0,442.5,7/1/2020
San Dieguito,100.8,201.0,91.6,178.0,7/1/2020
San Marcos,133.8,267.8,143.9,282.1,7/1/2020
Santee,68.4,259.5,55.3,197.7,7/1/2020
South Bay,936.4,1334.4,776.6,1206.4,7/1/2020
South Region,2280.0,907.0,2276.0,919.5,7/1/2020
Southeastern San Diego,571.7,787.9,713.0,976.5,7/1/2020
Spring Valley,220.6,531.2,272.6,641.1,7/1/2020
Supervisorial District 1,2780.1,865.5,2892.4,942.9,7/1/2020
Supervisorial District 2,1208.8,374.5,1429.4,430.9,7/1/2020
Supervisorial District 3,758.3,228.0,754.0,223.8,7/1/2020
Supervisorial District 4,1493.8,414.9,1483.7,423.6,7/1/2020
Supervisorial District 5,729.0,213.3,781.5,234.4,7/1/2020
Sweetwater,469.0,633.4,483.4,637.5,7/1/2020
Unincorporated,816.3,310.8,953.7,380.8,7/1/2020
University,53.5,150.3,36.2,98.1,7/1/2020
Valley Center,26.0,229.1,28.1,246.3,7/1/2020
Vista,151.8,281.6,167.3,309.0,7/1/2020
