Geography,"Allocated
Age0_9
Case
Count
(Raw)","COVID-19
Total Age0_9
Rate
(Suppressed)",Date
Alpine,,,6/24/2020
Anza-Borrego Springs,,,6/24/2020
Carlsbad,,,6/24/2020
Central Region,51.0,71.2,6/24/2020
Central San Diego,10.8,41.3,6/24/2020
Chula Vista,29.0,150.3,6/24/2020
City of Carlsbad,,,6/24/2020
City of Chula Vista,45.0,106.7,6/24/2020
City of Coronado,,,6/24/2020
City of Del Mar,,,6/24/2020
City of El Cajon,14.6,99.7,6/24/2020
City of Encinitas,6.7,90.1,6/24/2020
City of Escondido,15.8,69.5,6/24/2020
City of Imperial Beach,5.0,118.4,6/24/2020
City of La Mesa,6.7,90.7,6/24/2020
City of Lemon Grove,,,6/24/2020
City of National City,11.6,122.8,6/24/2020
City of Oceanside,16.0,63.2,6/24/2020
City of Poway,,,6/24/2020
City of San Diego,89.7,48.5,6/24/2020
City of San Marcos,6.7,47.1,6/24/2020
City of Santee,7.0,93.3,6/24/2020
City of Solana Beach,,,6/24/2020
City of Vista,9.0,56.6,6/24/2020
Coastal,,,6/24/2020
Coronado,,,6/24/2020
Del Mar-Mira Mesa,,,6/24/2020
East Region,54.0,82.4,6/24/2020
El Cajon,17.2,94.7,6/24/2020
Elliott-Navajo,,,6/24/2020
Escondido,16.7,64.9,6/24/2020
Fallbrook,,,6/24/2020
Harbison Crest,,,6/24/2020
Harbison Crest-El Cajon,18.5,91.5,6/24/2020
Jamul,,,6/24/2020
Kearny Mesa,8.8,40.0,6/24/2020
La Mesa,7.1,92.5,6/24/2020
Laguna-Pine Valley,,,6/24/2020
Lakeside,,,6/24/2020
Lemon Grove,,,6/24/2020
Mid-City,19.0,78.5,6/24/2020
Miramar,,,6/24/2020
Mountain Empire,,,6/24/2020
National City,11.6,123.6,6/24/2020
North Central Region,18.0,22.2,6/24/2020
North Coastal Region,36.0,48.3,6/24/2020
North County,68.0,43.0,6/24/2020
North Inland Region,32.0,38.2,6/24/2020
North San Diego,,,6/24/2020
Oceanside,14.9,61.1,6/24/2020
Palomar-Julian,,,6/24/2020
Pauma,,,6/24/2020
Pendleton,,,6/24/2020
Peninsula,,,6/24/2020
Poway,,,6/24/2020
Ramona,,,6/24/2020
San Diego County,275.0,60.8,6/24/2020
San Dieguito,7.2,61.0,6/24/2020
San Marcos,8.0,53.0,6/24/2020
Santee,6.6,91.6,6/24/2020
South Bay,25.5,126.9,6/24/2020
South Region,84.0,110.0,6/24/2020
Southeastern San Diego,22.4,97.5,6/24/2020
Spring Valley,11.3,94.8,6/24/2020
Supervisorial District 1,103.5,109.5,6/24/2020
Supervisorial District 2,62.8,72.4,6/24/2020
Supervisorial District 3,29.6,33.9,6/24/2020
Supervisorial District 4,39.5,43.3,6/24/2020
Supervisorial District 5,39.6,42.8,6/24/2020
Sweetwater,17.2,72.6,6/24/2020
Unincorporated,33.2,48.1,6/24/2020
University,,,6/24/2020
Valley Center,,,6/24/2020
Vista,10.2,61.1,6/24/2020
