Geography,"Allocated
Age70_79
Case
Count
(Raw)","COVID-19
Total
Age70_79
Rate
(Suppressed)",Date
Alpine,,,6/17/2020
Anza-Borrego Springs,,,6/17/2020
Carlsbad,6.7,75.1,6/17/2020
Central Region,114.0,432.2,6/17/2020
Central San Diego,44.3,384.1,6/17/2020
Chula Vista,31.7,487.1,6/17/2020
City of Carlsbad,6.1,74.0,6/17/2020
City of Chula Vista,60.4,452.8,6/17/2020
City of Coronado,,,6/17/2020
City of Del Mar,,,6/17/2020
City of El Cajon,69.5,994.9,6/17/2020
City of Encinitas,,,6/17/2020
City of Escondido,28.2,315.3,6/17/2020
City of Imperial Beach,6.0,438.6,6/17/2020
City of La Mesa,10.1,236.7,6/17/2020
City of Lemon Grove,6.0,410.4,6/17/2020
City of National City,28.2,1023.4,6/17/2020
City of Oceanside,9.0,81.2,6/17/2020
City of Poway,,,6/17/2020
City of San Diego,258.9,313.6,6/17/2020
City of San Marcos,6.4,113.2,6/17/2020
City of Santee,,,6/17/2020
City of Solana Beach,,,6/17/2020
City of Vista,7.3,128.7,6/17/2020
Coastal,12.0,191.9,6/17/2020
Coronado,,,6/17/2020
Del Mar-Mira Mesa,14.2,142.3,6/17/2020
East Region,140.0,434.9,6/17/2020
El Cajon,81.2,930.5,6/17/2020
Elliott-Navajo,5.6,78.6,6/17/2020
Escondido,30.9,298.9,6/17/2020
Fallbrook,5.4,135.1,6/17/2020
Harbison Crest,6.9,676.7,6/17/2020
Harbison Crest-El Cajon,88.1,903.9,6/17/2020
Jamul,,,6/17/2020
Kearny Mesa,23.2,221.9,6/17/2020
La Mesa,10.4,235.1,6/17/2020
Laguna-Pine Valley,,,6/17/2020
Lakeside,12.5,303.0,6/17/2020
Lemon Grove,7.0,422.1,6/17/2020
Mid-City,20.7,239.5,6/17/2020
Miramar,,,6/17/2020
Mountain Empire,,,6/17/2020
National City,28.0,1032.1,6/17/2020
North Central Region,67.0,158.8,6/17/2020
North Coastal Region,35.0,98.0,6/17/2020
North County,125.0,165.1,6/17/2020
North Inland Region,90.0,225.2,6/17/2020
North San Diego,26.7,343.3,6/17/2020
Oceanside,9.7,92.6,6/17/2020
Palomar-Julian,,,6/17/2020
Pauma,,,6/17/2020
Pendleton,,,6/17/2020
Peninsula,8.9,196.7,6/17/2020
Poway,6.9,110.8,6/17/2020
Ramona,,,6/17/2020
San Diego County,601.0,298.5,6/17/2020
San Dieguito,8.4,106.9,6/17/2020
San Marcos,8.3,139.8,6/17/2020
Santee,,,6/17/2020
South Bay,56.9,945.7,6/17/2020
South Region,155.0,622.9,6/17/2020
Southeastern San Diego,52.4,739.6,6/17/2020
Spring Valley,17.7,349.6,6/17/2020
Supervisorial District 1,203.7,673.8,6/17/2020
Supervisorial District 2,153.4,345.9,6/17/2020
Supervisorial District 3,88.9,209.6,6/17/2020
Supervisorial District 4,107.4,256.7,6/17/2020
Supervisorial District 5,47.6,112.0,6/17/2020
Sweetwater,31.5,433.8,6/17/2020
Unincorporated,92.0,273.7,6/17/2020
University,9.0,206.2,6/17/2020
Valley Center,,,6/17/2020
Vista,6.4,106.7,6/17/2020
