Geography,"Allocated
Age70_79
Case
Count
(Raw)","COVID-19
Total
Age70_79
Rate
(Suppressed)",Date
Alpine,,,7/8/2020
Anza-Borrego Springs,,,7/8/2020
Carlsbad,8.5,94.4,7/8/2020
Central Region,189.0,716.6,7/8/2020
Central San Diego,60.2,521.3,7/8/2020
Chula Vista,50.4,775.7,7/8/2020
City of Carlsbad,7.2,86.8,7/8/2020
City of Chula Vista,96.8,725.0,7/8/2020
City of Coronado,,,7/8/2020
City of Del Mar,,,7/8/2020
City of El Cajon,82.7,1184.1,7/8/2020
City of Encinitas,6.5,142.7,7/8/2020
City of Escondido,40.8,456.5,7/8/2020
City of Imperial Beach,9.0,657.9,7/8/2020
City of La Mesa,15.8,370.5,7/8/2020
City of Lemon Grove,8.0,547.2,7/8/2020
City of National City,37.9,1376.1,7/8/2020
City of Oceanside,17.0,153.2,7/8/2020
City of Poway,,,7/8/2020
City of San Diego,381.5,462.1,7/8/2020
City of San Marcos,12.2,215.1,7/8/2020
City of Santee,,,7/8/2020
City of Solana Beach,,,7/8/2020
City of Vista,15.4,271.9,7/8/2020
Coastal,12.0,191.9,7/8/2020
Coronado,,,7/8/2020
Del Mar-Mira Mesa,22.8,228.9,7/8/2020
East Region,185.0,574.7,7/8/2020
El Cajon,96.7,1109.0,7/8/2020
Elliott-Navajo,12.7,177.3,7/8/2020
Escondido,44.6,432.1,7/8/2020
Fallbrook,7.4,182.4,7/8/2020
Harbison Crest,8.0,786.3,7/8/2020
Harbison Crest-El Cajon,104.8,1075.2,7/8/2020
Jamul,5.8,474.9,7/8/2020
Kearny Mesa,27.8,265.2,7/8/2020
La Mesa,16.4,372.4,7/8/2020
Laguna-Pine Valley,,,7/8/2020
Lakeside,15.1,364.7,7/8/2020
Lemon Grove,9.6,575.5,7/8/2020
Mid-City,41.9,484.4,7/8/2020
Miramar,,,7/8/2020
Mountain Empire,,,7/8/2020
National City,37.6,1387.9,7/8/2020
North Central Region,92.0,218.0,7/8/2020
North Coastal Region,58.0,162.4,7/8/2020
North County,179.0,236.5,7/8/2020
North Inland Region,121.0,302.7,7/8/2020
North San Diego,28.1,361.0,7/8/2020
Oceanside,17.5,167.7,7/8/2020
Palomar-Julian,,,7/8/2020
Pauma,,,7/8/2020
Pendleton,,,7/8/2020
Peninsula,13.3,295.1,7/8/2020
Poway,8.7,140.1,7/8/2020
Ramona,,,7/8/2020
San Diego County,874.0,434.1,7/8/2020
San Dieguito,12.4,157.5,7/8/2020
San Marcos,15.0,251.7,7/8/2020
Santee,,,7/8/2020
South Bay,81.3,1352.0,7/8/2020
South Region,229.0,920.3,7/8/2020
Southeastern San Diego,91.9,1297.5,7/8/2020
Spring Valley,28.1,556.4,7/8/2020
Supervisorial District 1,313.3,1036.4,7/8/2020
Supervisorial District 2,211.0,475.9,7/8/2020
Supervisorial District 3,116.4,274.4,7/8/2020
Supervisorial District 4,153.1,365.9,7/8/2020
Supervisorial District 5,80.2,188.6,7/8/2020
Sweetwater,50.2,690.8,7/8/2020
Unincorporated,128.0,380.9,7/8/2020
University,9.0,206.2,7/8/2020
Valley Center,5.2,312.8,7/8/2020
Vista,15.5,258.4,7/8/2020
