Geography,"Allocated
Age80plus
Case
Count
(Raw)","COVID-19
Total
Age80plus
Rate
(Suppressed)",Date
Alpine,,,7/14/2020
Anza-Borrego Springs,,,7/14/2020
Carlsbad,9.6,172.4,7/14/2020
Central Region,172.0,1098.4,7/14/2020
Central San Diego,60.1,852.1,7/14/2020
Chula Vista,48.9,1125.4,7/14/2020
City of Carlsbad,9.1,183.2,7/14/2020
City of Chula Vista,101.0,1234.8,7/14/2020
City of Coronado,5.0,466.9,7/14/2020
City of Del Mar,,,7/14/2020
City of El Cajon,79.7,1797.6,7/14/2020
City of Encinitas,,,7/14/2020
City of Escondido,30.2,545.6,7/14/2020
City of Imperial Beach,12.0,1433.7,7/14/2020
City of La Mesa,30.5,1011.2,7/14/2020
City of Lemon Grove,13.0,1403.9,7/14/2020
City of National City,68.6,3459.2,7/14/2020
City of Oceanside,21.0,288.6,7/14/2020
City of Poway,7.0,343.1,7/14/2020
City of San Diego,356.4,718.5,7/14/2020
City of San Marcos,5.0,131.5,7/14/2020
City of Santee,,,7/14/2020
City of Solana Beach,,,7/14/2020
City of Vista,11.5,303.9,7/14/2020
Coastal,29.7,693.4,7/14/2020
Coronado,5.0,466.9,7/14/2020
Del Mar-Mira Mesa,22.8,497.0,7/14/2020
East Region,196.0,1012.1,7/14/2020
El Cajon,94.7,1731.7,7/14/2020
Elliott-Navajo,16.7,384.7,7/14/2020
Escondido,32.6,507.8,7/14/2020
Fallbrook,6.5,276.7,7/14/2020
Harbison Crest,7.8,1320.7,7/14/2020
Harbison Crest-El Cajon,102.5,1691.5,7/14/2020
Jamul,8.6,1312.9,7/14/2020
Kearny Mesa,30.7,421.0,7/14/2020
La Mesa,30.7,985.9,7/14/2020
Laguna-Pine Valley,,,7/14/2020
Lakeside,13.6,592.1,7/14/2020
Lemon Grove,14.0,1347.6,7/14/2020
Mid-City,26.3,515.9,7/14/2020
Miramar,,,7/14/2020
Mountain Empire,,,7/14/2020
National City,68.5,3495.2,7/14/2020
North Central Region,102.0,397.8,7/14/2020
North Coastal Region,53.0,237.6,7/14/2020
North County,163.0,351.6,7/14/2020
North Inland Region,110.0,457.2,7/14/2020
North San Diego,31.1,658.5,7/14/2020
Oceanside,20.8,307.6,7/14/2020
Palomar-Julian,,,7/14/2020
Pauma,,,7/14/2020
Pendleton,,,7/14/2020
Peninsula,6.6,249.9,7/14/2020
Poway,10.6,311.6,7/14/2020
Ramona,,,7/14/2020
San Diego County,869.0,708.5,7/14/2020
San Dieguito,7.7,165.7,7/14/2020
San Marcos,7.7,194.2,7/14/2020
Santee,,,7/14/2020
South Bay,53.9,1459.3,7/14/2020
South Region,236.0,1510.5,7/14/2020
Southeastern San Diego,89.2,2184.3,7/14/2020
Spring Valley,23.6,783.8,7/14/2020
Supervisorial District 1,315.9,1680.2,7/14/2020
Supervisorial District 2,222.9,832.0,7/14/2020
Supervisorial District 3,105.9,446.2,7/14/2020
Supervisorial District 4,157.0,592.4,7/14/2020
Supervisorial District 5,67.3,250.8,7/14/2020
Sweetwater,51.4,1245.4,7/14/2020
Unincorporated,109.4,570.6,7/14/2020
University,8.2,294.1,7/14/2020
Valley Center,,,7/14/2020
Vista,12.6,312.9,7/14/2020
