Geography,"Allocated
Age80plus
Case
Count
(Raw)","COVID-19
Total
Age80plus
Rate
(Suppressed)",Date
Alpine,,,6/24/2020
Anza-Borrego Springs,,,6/24/2020
Carlsbad,6.4,114.0,6/24/2020
Central Region,103.0,657.8,6/24/2020
Central San Diego,50.8,720.3,6/24/2020
Chula Vista,36.5,841.0,6/24/2020
City of Carlsbad,6.1,121.4,6/24/2020
City of Chula Vista,79.4,971.4,6/24/2020
City of Coronado,,,6/24/2020
City of Del Mar,,,6/24/2020
City of El Cajon,65.8,1484.2,6/24/2020
City of Encinitas,,,6/24/2020
City of Escondido,20.3,366.9,6/24/2020
City of Imperial Beach,11.0,1314.2,6/24/2020
City of La Mesa,26.8,891.1,6/24/2020
City of Lemon Grove,8.0,863.9,6/24/2020
City of National City,56.0,2823.9,6/24/2020
City of Oceanside,11.0,151.2,6/24/2020
City of Poway,,,6/24/2020
City of San Diego,257.3,518.6,6/24/2020
City of San Marcos,,,6/24/2020
City of Santee,,,6/24/2020
City of Solana Beach,,,6/24/2020
City of Vista,6.7,177.5,6/24/2020
Coastal,26.2,611.5,6/24/2020
Coronado,,,6/24/2020
Del Mar-Mira Mesa,21.4,465.8,6/24/2020
East Region,153.0,790.0,6/24/2020
El Cajon,77.8,1423.5,6/24/2020
Elliott-Navajo,10.8,249.2,6/24/2020
Escondido,21.4,333.3,6/24/2020
Fallbrook,,,6/24/2020
Harbison Crest,6.5,1097.6,6/24/2020
Harbison Crest-El Cajon,84.4,1391.6,6/24/2020
Jamul,7.7,1168.9,6/24/2020
Kearny Mesa,26.2,358.8,6/24/2020
La Mesa,27.0,867.9,6/24/2020
Laguna-Pine Valley,,,6/24/2020
Lakeside,12.2,532.6,6/24/2020
Lemon Grove,8.6,827.8,6/24/2020
Mid-City,20.0,393.4,6/24/2020
Miramar,,,6/24/2020
Mountain Empire,,,6/24/2020
National City,56.0,2855.2,6/24/2020
North Central Region,83.0,323.7,6/24/2020
North Coastal Region,30.0,134.5,6/24/2020
North County,115.0,248.0,6/24/2020
North Inland Region,85.0,353.3,6/24/2020
North San Diego,30.1,638.6,6/24/2020
Oceanside,10.8,160.0,6/24/2020
Palomar-Julian,,,6/24/2020
Pauma,,,6/24/2020
Pendleton,,,6/24/2020
Peninsula,5.1,194.9,6/24/2020
Poway,8.7,255.6,6/24/2020
Ramona,,,6/24/2020
San Diego County,639.0,521.0,6/24/2020
San Dieguito,,,6/24/2020
San Marcos,,,6/24/2020
Santee,,,6/24/2020
South Bay,42.3,1143.5,6/24/2020
South Region,185.0,1184.1,6/24/2020
Southeastern San Diego,34.1,834.6,6/24/2020
Spring Valley,12.4,412.0,6/24/2020
Supervisorial District 1,214.3,1139.9,6/24/2020
Supervisorial District 2,171.3,639.2,6/24/2020
Supervisorial District 3,87.2,367.3,6/24/2020
Supervisorial District 4,129.4,488.3,6/24/2020
Supervisorial District 5,36.8,137.2,6/24/2020
Sweetwater,41.2,998.0,6/24/2020
Unincorporated,77.7,405.2,6/24/2020
University,5.7,204.7,6/24/2020
Valley Center,,,6/24/2020
Vista,7.1,175.6,6/24/2020
