Geography,"Allocated
Case Count (Raw)","COVID-19
Total Rate (Suppressed)",date
Alpine,7.45,46.313,5/12/2020
Anza-Borrego Springs,,,5/12/2020
Carlsbad,70.93,56.557,5/12/2020
Central Region,1098,212.055,5/12/2020
Central San Diego,397.51,190.038,5/12/2020
Chula Vista,409.05,332.302,5/12/2020
City of Carlsbad,67,58.453,5/12/2020
City of Chula Vista,759.47,283.911,5/12/2020
City of Coronado,14,64.567,5/12/2020
City of Del Mar,5.02,116.06,5/12/2020
City of El Cajon,258.01,244.423,5/12/2020
City of Encinitas,36.2,57.318,5/12/2020
City of Escondido,162.85,107.506,5/12/2020
City of Imperial Beach,48,170.436,5/12/2020
City of La Mesa,91.28,149.007,5/12/2020
City of Lemon Grove,52,193.784,5/12/2020
City of National City,244.66,392.988,5/12/2020
City of Oceanside,120.12,67.728,5/12/2020
City of Poway,34.92,69.562,5/12/2020
City of San Diego,2460.11,173.266,5/12/2020
City of San Marcos,49.05,51.215,5/12/2020
City of Santee,43.44,76.223,5/12/2020
City of Solana Beach,7.08,50.767,5/12/2020
City of Vista,77.87,75.323,5/12/2020
Coastal,66.17,76.99,5/12/2020
Coronado,14,64.567,5/12/2020
Del Mar-Mira Mesa,140.75,82.372,5/12/2020
East Region,840,173.015,5/12/2020
El Cajon,312.81,238.028,5/12/2020
Elliott-Navajo,82.39,87.108,5/12/2020
Escondido,180.73,104.306,5/12/2020
Fallbrook,22.32,45.941,5/12/2020
Harbison Crest,31.06,205.027,5/12/2020
Harbison Crest-El Cajon,343.87,234.617,5/12/2020
Jamul,39.63,202.255,5/12/2020
Kearny Mesa,183.97,107.736,5/12/2020
La Mesa,93.27,147.265,5/12/2020
Laguna-Pine Valley,,,5/12/2020
Lakeside,79.39,133.25,5/12/2020
Lemon Grove,63.08,204.832,5/12/2020
Mid-City,305.62,178.608,5/12/2020
Miramar,7.55,109.841,5/12/2020
Mountain Empire,12.3,149.668,5/12/2020
National City,243.8,394.919,5/12/2020
North Central Region,580,87.169,5/12/2020
North Coastal Region,355,63.137,5/12/2020
North County,829,70.862,5/12/2020
North Inland Region,474,78.011,5/12/2020
North San Diego,111.17,91.937,5/12/2020
Oceanside,118.91,70.195,5/12/2020
Palomar-Julian,,,5/12/2020
Pauma,,,5/12/2020
Pendleton,,,5/12/2020
Peninsula,79.35,113.459,5/12/2020
Poway,58.33,64.633,5/12/2020
Ramona,19.14,54.418,5/12/2020
San Diego County,5278,158.144,5/12/2020
San Dieguito,63.84,62.823,5/12/2020
San Marcos,56.11,55.571,5/12/2020
Santee,43.13,79.44,5/12/2020
South Bay,738.21,548.654,5/12/2020
South Region,1810,362.792,5/12/2020
Southeastern San Diego,417.16,286.561,5/12/2020
Spring Valley,171.46,204.037,5/12/2020
Supervisorial District 1,2147.95,342.057,5/12/2020
Supervisorial District 2,979.66,149.668,5/12/2020
Supervisorial District 3,556.78,83.163,5/12/2020
Supervisorial District 4,1066.33,150.123,5/12/2020
Supervisorial District 5,406.29,60.178,5/12/2020
Sweetwater,370.56,247.255,5/12/2020
Unincorporated,625.92,121.982,5/12/2020
University,35.38,48.801,5/12/2020
Valley Center,13.83,60.73,5/12/2020
Vista,82.3,76.149,5/12/2020
