Geography,"Allocated
Case
Count
(Raw)","COVID-19
Total Rate
(Suppressed)",Date
Alpine,13.8,86.0,6/14/2020
Anza-Borrego Springs,9.2,179.9,6/14/2020
Carlsbad,108.5,86.5,6/14/2020
Central Region,2109.0,407.3,6/14/2020
Central San Diego,718.5,343.5,6/14/2020
Chula Vista,799.9,649.8,6/14/2020
City of Carlsbad,93.9,82.0,6/14/2020
City of Chula Vista,1417.2,529.8,6/14/2020
City of Coronado,27.0,124.5,6/14/2020
City of Del Mar,6.9,159.6,6/14/2020
City of El Cajon,486.6,461.0,6/14/2020
City of Encinitas,74.6,118.1,6/14/2020
City of Escondido,322.4,212.8,6/14/2020
City of Imperial Beach,134.0,475.8,6/14/2020
City of La Mesa,144.1,235.3,6/14/2020
City of Lemon Grove,92.0,342.8,6/14/2020
City of National City,475.3,763.4,6/14/2020
City of Oceanside,245.3,138.3,6/14/2020
City of Poway,50.9,101.4,6/14/2020
City of San Diego,4342.3,305.8,6/14/2020
City of San Marcos,125.0,130.5,6/14/2020
City of Santee,75.8,133.0,6/14/2020
City of Solana Beach,14.5,103.9,6/14/2020
City of Vista,152.5,147.5,6/14/2020
Coastal,113.7,132.3,6/14/2020
Coronado,27.0,124.5,6/14/2020
Del Mar-Mira Mesa,200.1,117.1,6/14/2020
East Region,1528.0,314.7,6/14/2020
El Cajon,580.8,441.9,6/14/2020
Elliott-Navajo,134.9,142.6,6/14/2020
Escondido,353.2,203.8,6/14/2020
Fallbrook,50.0,103.0,6/14/2020
Harbison Crest,53.6,353.5,6/14/2020
Harbison Crest-El Cajon,634.3,432.8,6/14/2020
Jamul,73.7,376.0,6/14/2020
Kearny Mesa,312.9,183.2,6/14/2020
La Mesa,148.7,234.7,6/14/2020
Laguna-Pine Valley,,,6/14/2020
Lakeside,142.0,238.4,6/14/2020
Lemon Grove,114.5,371.8,6/14/2020
Mid-City,593.6,346.9,6/14/2020
Miramar,10.3,149.4,6/14/2020
Mountain Empire,25.6,311.5,6/14/2020
National City,474.2,768.0,6/14/2020
North Central Region,923.0,138.7,6/14/2020
North Coastal Region,649.0,115.4,6/14/2020
North County,1527.0,130.5,6/14/2020
North Inland Region,878.0,144.5,6/14/2020
North San Diego,144.6,119.6,6/14/2020
Oceanside,240.3,141.8,6/14/2020
Palomar-Julian,,,6/14/2020
Pauma,7.9,96.4,6/14/2020
Pendleton,,,6/14/2020
Peninsula,114.4,163.5,6/14/2020
Poway,85.5,94.7,6/14/2020
Ramona,52.7,149.8,6/14/2020
San Diego County,9610.0,287.9,6/14/2020
San Dieguito,116.1,114.3,6/14/2020
San Marcos,142.3,140.9,6/14/2020
Santee,76.0,139.9,6/14/2020
South Bay,1337.0,993.7,6/14/2020
South Region,3342.0,669.9,6/14/2020
Southeastern San Diego,829.4,569.7,6/14/2020
Spring Valley,323.8,385.3,6/14/2020
Supervisorial District 1,4031.1,642.0,6/14/2020
Supervisorial District 2,1792.0,273.8,6/14/2020
Supervisorial District 3,911.2,136.1,6/14/2020
Supervisorial District 4,1903.3,268.0,6/14/2020
Supervisorial District 5,791.4,117.2,6/14/2020
Sweetwater,647.7,432.2,6/14/2020
Unincorporated,1148.8,223.9,6/14/2020
University,53.7,74.1,6/14/2020
Valley Center,29.1,128.0,6/14/2020
Vista,160.7,148.7,6/14/2020
