Geography,"Allocated
Case
Count
(Raw)","COVID-19
Total Rate
(Suppressed)",Date
Alpine,120.60,746.62,10/16/2020
Anza-Borrego Springs,18.66,357.00,10/16/2020
Carlsbad,924.50,730.96,10/16/2020
Central Region,11311.00,2195.71,10/16/2020
Central San Diego,3719.77,1763.79,10/16/2020
Chula Vista,3535.82,2850.08,10/16/2020
City of Carlsbad,791.78,687.00,10/16/2020
City of Chula Vista,6662.21,2454.33,10/16/2020
City of Coronado,205.00,847.14,10/16/2020
City of Del Mar,28.80,650.73,10/16/2020
City of El Cajon,2047.46,1935.91,10/16/2020
City of Encinitas,444.23,701.07,10/16/2020
City of Escondido,2289.93,1499.12,10/16/2020
City of Imperial Beach,660.00,2404.55,10/16/2020
City of La Mesa,734.70,1208.57,10/16/2020
City of Lemon Grove,506.00,1859.75,10/16/2020
City of National City,1779.63,2860.12,10/16/2020
City of Oceanside,2101.22,1180.62,10/16/2020
City of Poway,347.17,689.96,10/16/2020
City of San Diego,22437.24,1579.54,10/16/2020
City of San Marcos,1156.53,1177.78,10/16/2020
City of Santee,558.21,956.10,10/16/2020
City of Solana Beach,68.29,489.86,10/16/2020
City of Vista,1306.95,1281.83,10/16/2020
Coastal,1054.90,1212.81,10/16/2020
Coronado,205.00,847.14,10/16/2020
Del Mar-Mira Mesa,1154.89,675.41,10/16/2020
East Region,7727.00,1581.00,10/16/2020
El Cajon,2514.05,1899.84,10/16/2020
Elliott-Navajo,814.06,850.02,10/16/2020
Escondido,2538.27,1448.08,10/16/2020
Fallbrook,599.42,1209.12,10/16/2020
Harbison Crest,252.63,1667.39,10/16/2020
Harbison Crest-El Cajon,2766.68,1875.96,10/16/2020
Jamul,370.33,1953.91,10/16/2020
Kearny Mesa,1823.24,1066.19,10/16/2020
La Mesa,761.43,1209.96,10/16/2020
Laguna-Pine Valley,22.45,392.41,10/16/2020
Lakeside,739.42,1228.81,10/16/2020
Lemon Grove,604.63,1951.35,10/16/2020
Mid-City,3916.37,2321.30,10/16/2020
Miramar,60.17,819.96,10/16/2020
Mountain Empire,125.42,1524.14,10/16/2020
National City,1772.81,2872.16,10/16/2020
North Central Region,5876.00,878.37,10/16/2020
North Coastal Region,5257.00,937.69,10/16/2020
North County,11799.00,1002.98,10/16/2020
North Inland Region,6542.00,1062.43,10/16/2020
North San Diego,714.49,585.95,10/16/2020
Oceanside,2049.13,1209.07,10/16/2020
Palomar-Julian,51.68,660.30,10/16/2020
Pauma,144.44,1711.45,10/16/2020
Pendleton,102.00,247.07,10/16/2020
Peninsula,657.11,926.66,10/16/2020
Poway,595.07,657.16,10/16/2020
Ramona,393.88,1098.89,10/16/2020
San Diego County,51982.00,1550.88,10/16/2020
San Dieguito,685.35,674.10,10/16/2020
San Marcos,1264.43,1223.48,10/16/2020
Santee,538.74,970.67,10/16/2020
South Bay,5262.37,3987.19,10/16/2020
South Region,14276.00,2840.79,10/16/2020
Southeastern San Diego,3869.36,2698.28,10/16/2020
Spring Valley,1750.93,2068.98,10/16/2020
Supervisorial District 1,17587.74,2798.16,10/16/2020
Supervisorial District 2,9739.70,1479.97,10/16/2020
Supervisorial District 3,5672.42,841.49,10/16/2020
Supervisorial District 4,10901.94,1529.04,10/16/2020
Supervisorial District 5,7087.19,1045.23,10/16/2020
Sweetwater,3258.76,2128.57,10/16/2020
Unincorporated,6863.62,1331.07,10/16/2020
University,340.65,469.53,10/16/2020
Valley Center,253.61,1092.98,10/16/2020
Vista,1408.18,1312.79,10/16/2020
