Geography,"Allocated
Case
Count
(Raw)","COVID-19
Total Rate
(Suppressed)",Date
Alpine,220.7,1366.6,11/19/2020
Anza-Borrego Springs,24.3,465.2,11/19/2020
Carlsbad,1274.8,1008.0,11/19/2020
Central Region,14310.0,2777.9,11/19/2020
Central San Diego,4890.4,2318.8,11/19/2020
Chula Vista,4522.8,3645.6,11/19/2020
City of Carlsbad,1078.6,935.8,11/19/2020
City of Chula Vista,8603.7,3169.6,11/19/2020
City of Coronado,262.0,1082.7,11/19/2020
City of Del Mar,40.4,912.4,11/19/2020
City of El Cajon,2945.9,2785.4,11/19/2020
City of Encinitas,630.0,994.2,11/19/2020
City of Escondido,3080.9,2016.9,11/19/2020
City of Imperial Beach,848.0,3089.5,11/19/2020
City of La Mesa,952.2,1566.3,11/19/2020
City of Lemon Grove,677.0,2488.2,11/19/2020
City of National City,2190.4,3520.3,11/19/2020
City of Oceanside,2874.3,1615.0,11/19/2020
City of Poway,476.9,947.7,11/19/2020
City of San Diego,29062.4,2045.9,11/19/2020
City of San Marcos,1565.1,1593.9,11/19/2020
City of Santee,790.6,1354.1,11/19/2020
City of Solana Beach,107.8,773.3,11/19/2020
City of Vista,1888.6,1852.3,11/19/2020
Coastal,1426.1,1639.6,11/19/2020
Coronado,262.0,1082.7,11/19/2020
Del Mar-Mira Mesa,1576.8,922.2,11/19/2020
East Region,10841.0,2218.1,11/19/2020
El Cajon,3621.2,2736.5,11/19/2020
Elliott-Navajo,1135.9,1186.0,11/19/2020
Escondido,3436.5,1960.5,11/19/2020
Fallbrook,774.7,1562.6,11/19/2020
Harbison Crest,365.0,2409.1,11/19/2020
Harbison Crest-El Cajon,3986.2,2702.9,11/19/2020
Jamul,518.3,2734.8,11/19/2020
Kearny Mesa,2470.6,1444.8,11/19/2020
La Mesa,987.1,1568.6,11/19/2020
Laguna-Pine Valley,43.2,754.5,11/19/2020
Lakeside,1047.7,1741.1,11/19/2020
Lemon Grove,802.2,2588.9,11/19/2020
Mid-City,4829.1,2862.3,11/19/2020
Miramar,79.0,1076.8,11/19/2020
Mountain Empire,246.2,2991.7,11/19/2020
National City,2180.9,3533.3,11/19/2020
North Central Region,7947.0,1188.0,11/19/2020
North Coastal Region,7332.0,1307.8,11/19/2020
North County,16267.0,1382.8,11/19/2020
North Inland Region,8935.0,1451.1,11/19/2020
North San Diego,977.6,801.7,11/19/2020
Oceanside,2800.2,1652.2,11/19/2020
Palomar-Julian,66.6,851.2,11/19/2020
Pauma,188.3,2231.6,11/19/2020
Pendleton,120.0,290.7,11/19/2020
Peninsula,860.2,1213.1,11/19/2020
Poway,810.8,895.4,11/19/2020
Ramona,627.6,1751.1,11/19/2020
San Diego County,69231.0,2065.5,11/19/2020
San Dieguito,980.5,964.4,11/19/2020
San Marcos,1709.9,1654.5,11/19/2020
Santee,763.0,1374.8,11/19/2020
South Bay,6747.1,5112.1,11/19/2020
South Region,18283.0,3638.1,11/19/2020
Southeastern San Diego,4849.8,3382.0,11/19/2020
Spring Valley,2320.4,2741.9,11/19/2020
Supervisorial District 1,22372.7,3559.4,11/19/2020
Supervisorial District 2,13541.6,2057.7,11/19/2020
Supervisorial District 3,7766.0,1152.1,11/19/2020
Supervisorial District 4,14235.2,1996.5,11/19/2020
Supervisorial District 5,9732.5,1435.4,11/19/2020
Sweetwater,4250.5,2776.4,11/19/2020
Unincorporated,9573.4,1856.6,11/19/2020
University,453.3,624.8,11/19/2020
Valley Center,361.3,1557.1,11/19/2020
Vista,2025.3,1888.1,11/19/2020
