Geography,"Allocated
Case
Count
(Raw)","COVID-19
Total Rate
(Suppressed)",Date
Alpine,87.9,544.3,9/1/2020
Anza-Borrego Springs,18.1,346.6,9/1/2020
Carlsbad,694.9,549.4,9/1/2020
Central Region,8215.0,1594.7,9/1/2020
Central San Diego,2691.9,1276.4,9/1/2020
Chula Vista,2667.4,2150.1,9/1/2020
City of Carlsbad,605.6,525.5,9/1/2020
City of Chula Vista,4991.0,1838.7,9/1/2020
City of Coronado,162.0,669.4,9/1/2020
City of Del Mar,21.6,488.0,9/1/2020
City of El Cajon,1660.5,1570.0,9/1/2020
City of Encinitas,323.0,509.8,9/1/2020
City of Escondido,1709.7,1119.2,9/1/2020
City of Imperial Beach,491.0,1788.8,9/1/2020
City of La Mesa,588.0,967.3,9/1/2020
City of Lemon Grove,410.0,1506.9,9/1/2020
City of National City,1457.6,2342.5,9/1/2020
City of Oceanside,1496.4,840.8,9/1/2020
City of Poway,237.4,471.9,9/1/2020
City of San Diego,16568.9,1166.4,9/1/2020
City of San Marcos,854.4,870.1,9/1/2020
City of Santee,391.6,670.7,9/1/2020
City of Solana Beach,52.7,378.1,9/1/2020
City of Vista,962.8,944.3,9/1/2020
Coastal,737.4,847.7,9/1/2020
Coronado,162.0,669.4,9/1/2020
Del Mar-Mira Mesa,882.9,516.3,9/1/2020
East Region,6102.0,1248.5,9/1/2020
El Cajon,2032.3,1535.8,9/1/2020
Elliott-Navajo,563.8,588.8,9/1/2020
Escondido,1890.8,1078.7,9/1/2020
Fallbrook,454.7,917.2,9/1/2020
Harbison Crest,200.9,1326.1,9/1/2020
Harbison Crest-El Cajon,2233.3,1514.3,9/1/2020
Jamul,282.9,1492.7,9/1/2020
Kearny Mesa,1379.5,806.7,9/1/2020
La Mesa,608.5,967.0,9/1/2020
Laguna-Pine Valley,19.5,340.7,9/1/2020
Lakeside,574.1,954.1,9/1/2020
Lemon Grove,490.2,1581.9,9/1/2020
Mid-City,2510.4,1488.0,9/1/2020
Miramar,47.8,651.4,9/1/2020
Mountain Empire,93.6,1137.4,9/1/2020
National City,1453.1,2354.3,9/1/2020
North Central Region,4294.0,641.9,9/1/2020
North Coastal Region,3860.0,688.5,9/1/2020
North County,8727.0,741.8,9/1/2020
North Inland Region,4867.0,790.4,9/1/2020
North San Diego,536.5,439.9,9/1/2020
Oceanside,1466.6,865.3,9/1/2020
Palomar-Julian,37.3,476.5,9/1/2020
Pauma,125.2,1484.1,9/1/2020
Pendleton,87.0,210.7,9/1/2020
Peninsula,475.3,670.3,9/1/2020
Poway,414.8,458.1,9/1/2020
Ramona,276.5,771.3,9/1/2020
San Diego County,39121.0,1167.2,9/1/2020
San Dieguito,505.1,496.8,9/1/2020
San Marcos,937.6,907.2,9/1/2020
Santee,380.8,686.2,9/1/2020
South Bay,4082.7,3093.4,9/1/2020
South Region,10963.0,2181.5,9/1/2020
Southeastern San Diego,3146.8,2194.4,9/1/2020
Spring Valley,1385.2,1636.8,9/1/2020
Supervisorial District 1,13654.2,2172.3,9/1/2020
Supervisorial District 2,7307.4,1110.4,9/1/2020
Supervisorial District 3,4250.0,630.5,9/1/2020
Supervisorial District 4,7831.6,1098.4,9/1/2020
Supervisorial District 5,5257.8,775.4,9/1/2020
Sweetwater,2426.7,1585.1,9/1/2020
Unincorporated,5316.7,1031.1,9/1/2020
University,240.4,331.3,9/1/2020
Valley Center,189.9,818.5,9/1/2020
Vista,1041.8,971.2,9/1/2020
