Geography,"Allocated
Case
Count
(Raw)","COVID-19
Total Rate
(Suppressed)",Date
Alpine,80.7,499.3,8/20/2020
Anza-Borrego Springs,17.1,327.5,8/20/2020
Carlsbad,642.7,508.2,8/20/2020
Central Region,7567.0,1468.9,8/20/2020
Central San Diego,2472.8,1172.5,8/20/2020
Chula Vista,2415.0,1946.6,8/20/2020
City of Carlsbad,567.0,491.9,8/20/2020
City of Chula Vista,4558.7,1679.4,8/20/2020
City of Coronado,156.0,644.7,8/20/2020
City of Del Mar,19.7,445.6,8/20/2020
City of El Cajon,1578.6,1492.6,8/20/2020
City of Encinitas,297.9,470.1,8/20/2020
City of Escondido,1514.3,991.3,8/20/2020
City of Imperial Beach,455.0,1657.7,8/20/2020
City of La Mesa,527.8,868.2,8/20/2020
City of Lemon Grove,382.0,1404.0,8/20/2020
City of National City,1351.8,2172.5,8/20/2020
City of Oceanside,1309.2,735.6,8/20/2020
City of Poway,220.5,438.2,8/20/2020
City of San Diego,15305.4,1077.5,8/20/2020
City of San Marcos,754.8,768.7,8/20/2020
City of Santee,359.5,615.7,8/20/2020
City of Solana Beach,47.3,339.3,8/20/2020
City of Vista,866.2,849.6,8/20/2020
Coastal,699.5,804.3,8/20/2020
Coronado,156.0,644.7,8/20/2020
Del Mar-Mira Mesa,821.0,480.1,8/20/2020
East Region,5658.0,1157.7,8/20/2020
El Cajon,1928.9,1457.7,8/20/2020
Elliott-Navajo,522.0,545.1,8/20/2020
Escondido,1673.6,954.8,8/20/2020
Fallbrook,410.3,827.7,8/20/2020
Harbison Crest,189.6,1251.1,8/20/2020
Harbison Crest-El Cajon,2118.5,1436.4,8/20/2020
Jamul,257.0,1355.8,8/20/2020
Kearny Mesa,1299.4,759.9,8/20/2020
La Mesa,544.7,865.5,8/20/2020
Laguna-Pine Valley,19.1,334.0,8/20/2020
Lakeside,527.5,876.7,8/20/2020
Lemon Grove,457.0,1474.8,8/20/2020
Mid-City,2283.9,1353.7,8/20/2020
Miramar,44.9,611.9,8/20/2020
Mountain Empire,82.5,1002.6,8/20/2020
National City,1347.7,2183.5,8/20/2020
North Central Region,4032.0,602.7,8/20/2020
North Coastal Region,3460.0,617.2,8/20/2020
North County,7795.0,662.6,8/20/2020
North Inland Region,4335.0,704.0,8/20/2020
North San Diego,480.4,394.0,8/20/2020
Oceanside,1285.2,758.3,8/20/2020
Palomar-Julian,32.5,415.4,8/20/2020
Pauma,107.3,1271.3,8/20/2020
Pendleton,69.0,167.1,8/20/2020
Peninsula,446.3,629.4,8/20/2020
Poway,380.3,419.9,8/20/2020
Ramona,246.7,688.2,8/20/2020
San Diego County,35912.0,1071.4,8/20/2020
San Dieguito,465.2,457.6,8/20/2020
San Marcos,829.6,802.7,8/20/2020
Santee,349.6,629.9,8/20/2020
South Bay,3750.2,2841.5,8/20/2020
South Region,10064.0,2002.6,8/20/2020
Southeastern San Diego,2932.5,2044.9,8/20/2020
Spring Valley,1271.0,1501.9,8/20/2020
Supervisorial District 1,12568.8,1999.7,8/20/2020
Supervisorial District 2,6742.5,1024.5,8/20/2020
Supervisorial District 3,3849.4,571.0,8/20/2020
Supervisorial District 4,7263.3,1018.7,8/20/2020
Supervisorial District 5,4692.0,692.0,8/20/2020
Sweetwater,2239.3,1462.7,8/20/2020
Unincorporated,4844.4,939.5,8/20/2020
University,226.9,312.7,8/20/2020
Valley Center,174.1,750.1,8/20/2020
Vista,937.1,873.6,8/20/2020
