Geography,Allocated Case Count (Raw),COVID-19 Total Rate (Suppressed),date
Alpine,586.2,3629.2,12/24/2020
Anza-Borrego Springs,81.8,1564.9,12/24/2020
Carlsbad,2751.9,2175.8,12/24/2020
Central Region,24682.0,4791.3,12/24/2020
Central San Diego,8206.3,3891.1,12/24/2020
Chula Vista,8387.1,6760.5,12/24/2020
City of Carlsbad,2312.9,2006.8,12/24/2020
City of Chula Vista,16164.8,5955.0,12/24/2020
City of Coronado,455.0,1880.2,12/24/2020
City of Del Mar,74.8,1690.5,12/24/2020
City of El Cajon,5918.4,5596.0,12/24/2020
City of Encinitas,1227.7,1937.4,12/24/2020
City of Escondido,6715.3,4396.2,12/24/2020
City of Imperial Beach,1489.0,5424.8,12/24/2020
City of La Mesa,1871.4,3078.5,12/24/2020
City of Lemon Grove,1386.0,5094.1,12/24/2020
City of National City,3973.9,6386.7,12/24/2020
City of Oceanside,5981.5,3360.8,12/24/2020
City of Poway,1011.6,2010.4,12/24/2020
City of San Diego,53130.2,3740.3,12/24/2020
City of San Marcos,3422.8,3485.6,12/24/2020
City of Santee,1706.2,2922.4,12/24/2020
City of Solana Beach,220.3,1580.3,12/24/2020
City of Vista,4411.0,4326.2,12/24/2020
Coastal,2246.2,2582.4,12/24/2020
Coronado,455.0,1880.2,12/24/2020
Del Mar-Mira Mesa,3081.9,1802.4,12/24/2020
East Region,21749.0,4450.0,12/24/2020
El Cajon,7289.7,5508.7,12/24/2020
Elliott-Navajo,2254.5,2354.1,12/24/2020
Escondido,7486.4,4271.0,12/24/2020
Fallbrook,1689.2,3407.4,12/24/2020
Harbison Crest,744.6,4914.8,12/24/2020
Harbison Crest-El Cajon,8034.3,5447.7,12/24/2020
Jamul,1040.1,5487.4,12/24/2020
Kearny Mesa,4902.0,2866.6,12/24/2020
La Mesa,1939.8,3082.5,12/24/2020
Laguna-Pine Valley,131.8,2303.7,12/24/2020
Lakeside,2137.3,3551.9,12/24/2020
Lemon Grove,1617.5,5220.2,12/24/2020
Mid-City,8098.6,4800.2,12/24/2020
Miramar,159.6,2174.9,12/24/2020
Mountain Empire,474.4,5764.8,12/24/2020
National City,3957.2,6411.1,12/24/2020
North Central Region,14949.0,2234.6,12/24/2020
North Coastal Region,15745.0,2808.4,12/24/2020
North County,34990.0,2974.3,12/24/2020
North Inland Region,19245.0,3125.4,12/24/2020
North San Diego,2062.9,1691.8,12/24/2020
Oceanside,5854.3,3454.3,12/24/2020
Palomar-Julian,107.2,1370.0,12/24/2020
Pauma,366.8,4346.0,12/24/2020
Pendleton,248.0,600.7,12/24/2020
Peninsula,1450.9,2046.0,12/24/2020
Poway,1694.9,1871.7,12/24/2020
Ramona,1229.4,3430.0,12/24/2020
San Diego County,139961.0,4175.7,12/24/2020
San Dieguito,1932.1,1900.4,12/24/2020
San Marcos,3771.8,3649.6,12/24/2020
Santee,1640.4,2955.6,12/24/2020
South Bay,13054.1,9890.8,12/24/2020
South Region,34574.0,6879.9,12/24/2020
Southeastern San Diego,8865.9,6182.6,12/24/2020
Spring Valley,4367.4,5160.7,12/24/2020
Supervisorial District 1,41762.2,6644.2,12/24/2020
Supervisorial District 2,26769.5,4067.7,12/24/2020
Supervisorial District 3,16165.9,2398.2,12/24/2020
Supervisorial District 4,25043.5,3512.4,12/24/2020
Supervisorial District 5,21202.9,3127.0,12/24/2020
Sweetwater,8075.5,5274.8,12/24/2020
Unincorporated,19471.3,3776.1,12/24/2020
University,953.5,1314.2,12/24/2020
Valley Center,830.6,3579.8,12/24/2020
Vista,4719.5,4399.8,12/24/2020
