Geography,"Allocated
Case Count (Raw)","COVID-19
Total Rate (Suppressed)",date
Alpine,9.26,57.615,5/24/2020
Anza-Borrego Springs,,,5/24/2020
Carlsbad,80.63,64.285,5/24/2020
Central Region,1451,280.229,5/24/2020
Central San Diego,512.78,245.147,5/24/2020
Chula Vista,556.18,451.823,5/24/2020
City of Carlsbad,74.23,64.76,5/24/2020
City of Chula Vista,1006.2,376.147,5/24/2020
City of Coronado,18,83.014,5/24/2020
City of Del Mar,5.64,130.567,5/24/2020
City of El Cajon,370.63,351.12,5/24/2020
City of Encinitas,45.56,72.138,5/24/2020
City of Escondido,202.1,133.419,5/24/2020
City of Imperial Beach,71,252.104,5/24/2020
City of La Mesa,110.43,180.269,5/24/2020
City of Lemon Grove,66,245.957,5/24/2020
City of National City,335.17,538.363,5/24/2020
City of Oceanside,153.16,86.355,5/24/2020
City of Poway,36.92,73.537,5/24/2020
City of San Diego,3133.72,220.709,5/24/2020
City of San Marcos,85.67,89.458,5/24/2020
City of Santee,55.58,97.526,5/24/2020
City of Solana Beach,7.21,51.736,5/24/2020
City of Vista,105.67,102.212,5/24/2020
Coastal,74.41,86.582,5/24/2020
Coronado,18,83.014,5/24/2020
Del Mar-Mira Mesa,162.6,95.159,5/24/2020
East Region,1109,228.421,5/24/2020
El Cajon,441.32,335.811,5/24/2020
Elliott-Navajo,95.69,101.163,5/24/2020
Escondido,225.61,130.207,5/24/2020
Fallbrook,26.11,53.735,5/24/2020
Harbison Crest,40.02,264.172,5/24/2020
Harbison Crest-El Cajon,481.34,328.407,5/24/2020
Jamul,50.81,259.318,5/24/2020
Kearny Mesa,229.35,134.31,5/24/2020
La Mesa,113.03,178.454,5/24/2020
Laguna-Pine Valley,,,5/24/2020
Lakeside,101.52,170.394,5/24/2020
Lemon Grove,81.01,263.066,5/24/2020
Mid-City,404.06,236.138,5/24/2020
Miramar,8.91,129.609,5/24/2020
Mountain Empire,13.6,165.475,5/24/2020
National City,334.34,541.57,5/24/2020
North Central Region,683,102.649,5/24/2020
North Coastal Region,441,78.432,5/24/2020
North County,1036,88.557,5/24/2020
North Inland Region,595,97.925,5/24/2020
North San Diego,124.04,102.573,5/24/2020
Oceanside,152.46,89.997,5/24/2020
Palomar-Julian,,,5/24/2020
Pauma,6,73.703,5/24/2020
Pendleton,,,5/24/2020
Peninsula,91.35,130.623,5/24/2020
Poway,62.42,69.167,5/24/2020
Ramona,30.91,87.878,5/24/2020
San Diego County,6797,203.658,5/24/2020
San Dieguito,75.92,74.706,5/24/2020
San Marcos,93.7,92.809,5/24/2020
Santee,55.65,102.507,5/24/2020
South Bay,974.46,724.239,5/24/2020
South Region,2398,480.65,5/24/2020
Southeastern San Diego,559.53,384.359,5/24/2020
Spring Valley,219.39,261.065,5/24/2020
Supervisorial District 1,2858.58,455.225,5/24/2020
Supervisorial District 2,1282.69,195.964,5/24/2020
Supervisorial District 3,655.88,97.965,5/24/2020
Supervisorial District 4,1348.15,189.799,5/24/2020
Supervisorial District 5,531.69,78.752,5/24/2020
Sweetwater,473.93,316.231,5/24/2020
Unincorporated,794.09,154.757,5/24/2020
University,38.1,52.557,5/24/2020
Valley Center,17.78,78.104,5/24/2020
Vista,111.63,103.284,5/24/2020
