Geography,"Allocated
Case Count (Raw)","COVID-19
Total Rate (Suppressed)",date
Alpine,,,4/30/2020
Anza-Borrego Springs,,,4/30/2020
Carlsbad,59.88,47.74,4/30/2020
Central Region,771,148.902,4/30/2020
Central San Diego,303.14,144.925,4/30/2020
Chula Vista,247.62,201.157,4/30/2020
City of Carlsbad,56.86,49.604,4/30/2020
City of Chula Vista,494.58,184.886,4/30/2020
City of Coronado,9,41.507,4/30/2020
City of Del Mar,5.33,123.314,4/30/2020
City of El Cajon,177.21,167.877,4/30/2020
City of Encinitas,31.6,50.034,4/30/2020
City of Escondido,112.02,73.954,4/30/2020
City of Imperial Beach,26,92.32,4/30/2020
City of La Mesa,70.52,115.111,4/30/2020
City of Lemon Grove,37,137.885,4/30/2020
City of National City,144.28,231.744,4/30/2020
City of Oceanside,80.08,45.151,4/30/2020
City of Poway,31.93,63.599,4/30/2020
City of San Diego,1803.1,126.993,4/30/2020
City of San Marcos,34.66,36.196,4/30/2020
City of Santee,34.32,60.212,4/30/2020
City of Solana Beach,6.14,44.082,4/30/2020
City of Vista,54.95,53.153,4/30/2020
Coastal,57.94,67.42,4/30/2020
Coronado,9,41.507,4/30/2020
Del Mar-Mira Mesa,127.33,74.519,4/30/2020
East Region,581,119.669,4/30/2020
El Cajon,216.78,164.953,4/30/2020
Elliott-Navajo,68.67,72.603,4/30/2020
Escondido,126.89,73.233,4/30/2020
Fallbrook,14,28.823,4/30/2020
Harbison Crest,22.27,147.008,4/30/2020
Harbison Crest-El Cajon,239.05,163.098,4/30/2020
Jamul,28.05,143.17,4/30/2020
Kearny Mesa,140.05,82.017,4/30/2020
La Mesa,71.84,113.43,4/30/2020
Laguna-Pine Valley,,,4/30/2020
Lakeside,54.29,91.118,4/30/2020
Lemon Grove,44.13,143.293,4/30/2020
Mid-City,214,125.067,4/30/2020
Miramar,9.58,139.369,4/30/2020
Mountain Empire,5,60.847,4/30/2020
National City,143.44,232.353,4/30/2020
North Central Region,489,73.492,4/30/2020
North Coastal Region,271,48.198,4/30/2020
North County,638,54.536,4/30/2020
North Inland Region,367,60.401,4/30/2020
North San Diego,99.29,82.111,4/30/2020
Oceanside,79.29,46.808,4/30/2020
Palomar-Julian,,,4/30/2020
Pauma,,,4/30/2020
Pendleton,,,4/30/2020
Peninsula,67.12,95.978,4/30/2020
Poway,53.53,59.318,4/30/2020
Ramona,16.99,48.3,4/30/2020
San Diego County,3711,111.193,4/30/2020
San Dieguito,55.34,54.456,4/30/2020
San Marcos,37.08,36.728,4/30/2020
Santee,33.52,61.738,4/30/2020
South Bay,478.84,355.887,4/30/2020
South Region,1166,233.71,4/30/2020
Southeastern San Diego,270.8,186.022,4/30/2020
Spring Valley,112.21,133.531,4/30/2020
Supervisorial District 1,1378.8,219.572,4/30/2020
Supervisorial District 2,697.09,106.499,4/30/2020
Supervisorial District 3,465.16,69.478,4/30/2020
Supervisorial District 4,810.73,114.139,4/30/2020
Supervisorial District 5,293.21,43.43,4/30/2020
Sweetwater,260.67,173.934,4/30/2020
Unincorporated,435.42,84.858,4/30/2020
University,34.2,47.169,4/30/2020
Valley Center,8.38,36.798,4/30/2020
Vista,56.69,52.449,4/30/2020
