Geography,"Allocated
Case
Count
(Raw)","COVID-19
Total Rate
(Suppressed)",Date
Alpine,352.7,2183.7,12/3/2020
Anza-Borrego Springs,30.5,584.5,12/3/2020
Carlsbad,1665.3,1316.7,12/3/2020
Central Region,17304.0,3359.1,12/3/2020
Central San Diego,5820.8,2760.0,12/3/2020
Chula Vista,5635.9,4542.9,12/3/2020
City of Carlsbad,1402.9,1217.2,12/3/2020
City of Chula Vista,10829.7,3989.6,12/3/2020
City of Coronado,329.0,1359.6,12/3/2020
City of Del Mar,49.1,1110.5,12/3/2020
City of El Cajon,3914.5,3701.2,12/3/2020
City of Encinitas,817.2,1289.6,12/3/2020
City of Escondido,3925.7,2570.0,12/3/2020
City of Imperial Beach,1045.0,3807.2,12/3/2020
City of La Mesa,1225.7,2016.2,12/3/2020
City of Lemon Grove,863.0,3171.9,12/3/2020
City of National City,2635.8,4236.0,12/3/2020
City of Oceanside,3708.5,2083.7,12/3/2020
City of Poway,655.4,1302.6,12/3/2020
City of San Diego,35818.0,2521.5,12/3/2020
City of San Marcos,1992.2,2028.8,12/3/2020
City of Santee,1076.1,1843.1,12/3/2020
City of Solana Beach,142.7,1023.7,12/3/2020
City of Vista,2551.8,2502.8,12/3/2020
Coastal,1707.1,1962.6,12/3/2020
Coronado,329.0,1359.6,12/3/2020
Del Mar-Mira Mesa,1990.6,1164.2,12/3/2020
East Region,14158.0,2896.8,12/3/2020
El Cajon,4810.8,3635.5,12/3/2020
Elliott-Navajo,1463.6,1528.3,12/3/2020
Escondido,4386.6,2502.5,12/3/2020
Fallbrook,963.0,1942.6,12/3/2020
Harbison Crest,484.5,3198.0,12/3/2020
Harbison Crest-El Cajon,5295.3,3590.5,12/3/2020
Jamul,665.4,3510.6,12/3/2020
Kearny Mesa,3177.4,1858.1,12/3/2020
La Mesa,1271.9,2021.1,12/3/2020
Laguna-Pine Valley,75.8,1325.6,12/3/2020
Lakeside,1354.6,2251.1,12/3/2020
Lemon Grove,1015.7,3278.0,12/3/2020
Mid-City,5857.0,3471.5,12/3/2020
Miramar,99.9,1361.6,12/3/2020
Mountain Empire,308.9,3753.8,12/3/2020
National City,2624.0,4251.2,12/3/2020
North Central Region,10043.0,1501.3,12/3/2020
North Coastal Region,9603.0,1712.9,12/3/2020
North County,20994.0,1784.6,12/3/2020
North Inland Region,11391.0,1849.9,12/3/2020
North San Diego,1233.9,1011.9,12/3/2020
Oceanside,3614.6,2132.8,12/3/2020
Palomar-Julian,85.0,1086.1,12/3/2020
Pauma,224.1,2655.7,12/3/2020
Pendleton,162.0,392.4,12/3/2020
Peninsula,1070.5,1509.6,12/3/2020
Poway,1081.9,1194.8,12/3/2020
Ramona,787.8,2197.8,12/3/2020
San Diego County,88181.0,2630.9,12/3/2020
San Dieguito,1269.8,1249.0,12/3/2020
San Marcos,2184.4,2113.7,12/3/2020
Santee,1035.1,1865.0,12/3/2020
South Bay,8362.0,6335.7,12/3/2020
South Region,22754.0,4527.8,12/3/2020
Southeastern San Diego,5951.1,4150.0,12/3/2020
Spring Valley,2913.1,3442.2,12/3/2020
Supervisorial District 1,27741.5,4413.6,12/3/2020
Supervisorial District 2,17570.2,2669.8,12/3/2020
Supervisorial District 3,9900.7,1468.7,12/3/2020
Supervisorial District 4,17416.5,2442.7,12/3/2020
Supervisorial District 5,12624.1,1861.8,12/3/2020
Sweetwater,5391.0,3521.3,12/3/2020
Unincorporated,12270.8,2379.7,12/3/2020
University,590.3,813.7,12/3/2020
Valley Center,476.0,2051.5,12/3/2020
Vista,2729.2,2544.3,12/3/2020
