Geography,Case,Rate,Date
Alpine,,,4/4/2020
Anza-Borrego Springs,,,4/4/2020
Carlsbad,42.57,33.9415,4/4/2020
Central Region,314,60.6422,4/4/2020
Central San Diego,164.11,78.4553,4/4/2020
Chula Vista,40.37,32.7975,4/4/2020
City of Carlsbad,41.71,36.393,4/4/2020
City of Chula Vista,96.51,36.077,4/4/2020
City of Coronado,,,4/4/2020
City of Del Mar,,,4/4/2020
City of El Cajon,63.44,60.0969,4/4/2020
City of Encinitas,27,42.7509,4/4/2020
City of Escondido,29.37,19.3916,4/4/2020
City of Imperial Beach,6,21.3045,4/4/2020
City of La Mesa,16.92,27.6185,4/4/2020
City of Lemon Grove,12,44.7194,4/4/2020
City of National City,19.45,31.24,4/4/2020
City of Oceanside,32.03,18.0594,4/4/2020
City of Poway,12.97,25.8372,4/4/2020
City of San Diego,684.2,48.1883,4/4/2020
City of San Marcos,17.79,18.5788,4/4/2020
City of Santee,15.08,26.4604,4/4/2020
City of Solana Beach,,,4/4/2020
City of Vista,20.45,19.7774,4/4/2020
Coastal,49.99,58.1635,4/4/2020
Coronado,,,4/4/2020
Del Mar-Mira Mesa,66.39,38.8546,4/4/2020
East Region,187,38.5164,4/4/2020
El Cajon,76.62,58.299,4/4/2020
Elliott-Navajo,41.28,43.646,4/4/2020
Escondido,35.34,20.3956,4/4/2020
Fallbrook,5.61,11.5563,4/4/2020
Harbison Crest,6.47,42.7254,4/4/2020
Harbison Crest-El Cajon,83.09,56.6895,4/4/2020
Jamul,,,4/4/2020
Kearny Mesa,72.57,42.4951,4/4/2020
La Mesa,17.4,27.476,4/4/2020
Laguna-Pine Valley,,,4/4/2020
Lakeside,16.83,28.2438,4/4/2020
Lemon Grove,13.58,44.1044,4/4/2020
Mid-City,82.82,48.4024,4/4/2020
Miramar,,,4/4/2020
Mountain Empire,,,4/4/2020
National City,19.13,30.9933,4/4/2020
North Central Region,268,40.278,4/4/2020
North Coastal Region,157,27.9226,4/4/2020
North County,308,26.3276,4/4/2020
North Inland Region,151,24.8516,4/4/2020
North San Diego,53.73,44.434,4/4/2020
Oceanside,29.65,17.5009,4/4/2020
Palomar-Julian,,,4/4/2020
Pauma,,,4/4/2020
Pendleton,,,4/4/2020
Peninsula,18.68,26.7067,4/4/2020
Poway,23.56,26.1119,4/4/2020
Ramona,6.93,19.7158,4/4/2020
San Diego County,1326,39.7309,4/4/2020
San Dieguito,48.12,47.3475,4/4/2020
San Marcos,17.53,17.3659,4/4/2020
Santee,14.57,26.8455,4/4/2020
South Bay,48.85,36.3097,4/4/2020
South Region,177,35.4775,4/4/2020
Southeastern San Diego,73.32,50.3674,4/4/2020
Spring Valley,35.25,41.9464,4/4/2020
Supervisorial District 1,241.8,38.5061,4/4/2020
Supervisorial District 2,239.88,36.6474,4/4/2020
Supervisorial District 3,227.65,34.0022,4/4/2020
Supervisorial District 4,394.63,55.5581,4/4/2020
Supervisorial District 5,150.05,22.2244,4/4/2020
Sweetwater,59.89,39.9635,4/4/2020
Unincorporated,146.13,28.4782,4/4/2020
University,29.2,40.2728,4/4/2020
Valley Center,,,4/4/2020
Vista,20.92,19.3553,4/4/2020
