Geography,"Allocated
Case
Count
(Raw)","COVID-19
Total Rate
(Suppressed)",Date
Alpine,32.1,199.4,7/5/2020
Anza-Borrego Springs,12.4,242.4,7/5/2020
Carlsbad,282.1,224.9,7/5/2020
Central Region,3768.0,727.7,7/5/2020
Central San Diego,1255.2,600.1,7/5/2020
Chula Vista,1239.7,1007.1,7/5/2020
City of Carlsbad,250.2,218.3,7/5/2020
City of Chula Vista,2278.1,851.6,7/5/2020
City of Coronado,62.0,285.9,7/5/2020
City of Del Mar,12.2,282.9,7/5/2020
City of El Cajon,726.6,688.4,7/5/2020
City of Encinitas,158.2,250.6,7/5/2020
City of Escondido,622.4,410.9,7/5/2020
City of Imperial Beach,236.0,838.0,7/5/2020
City of La Mesa,247.1,403.4,7/5/2020
City of Lemon Grove,179.0,667.1,7/5/2020
City of National City,741.2,1190.5,7/5/2020
City of Oceanside,535.9,302.2,7/5/2020
City of Poway,97.8,194.8,7/5/2020
City of San Diego,7521.7,529.8,7/5/2020
City of San Marcos,316.6,330.6,7/5/2020
City of Santee,151.2,265.3,7/5/2020
City of Solana Beach,31.6,226.8,7/5/2020
City of Vista,370.6,358.4,7/5/2020
Coastal,335.4,390.3,7/5/2020
Coronado,62.0,285.9,7/5/2020
Del Mar-Mira Mesa,402.9,235.8,7/5/2020
East Region,2569.0,529.1,7/5/2020
El Cajon,882.2,671.3,7/5/2020
Elliott-Navajo,247.4,261.6,7/5/2020
Escondido,692.2,399.5,7/5/2020
Fallbrook,159.2,327.6,7/5/2020
Harbison Crest,87.3,576.2,7/5/2020
Harbison Crest-El Cajon,969.5,661.5,7/5/2020
Jamul,134.2,685.0,7/5/2020
Kearny Mesa,578.2,338.6,7/5/2020
La Mesa,255.6,403.5,7/5/2020
Laguna-Pine Valley,6.6,116.2,7/5/2020
Lakeside,224.6,376.9,7/5/2020
Lemon Grove,215.7,700.5,7/5/2020
Mid-City,1098.2,641.8,7/5/2020
Miramar,18.6,271.4,7/5/2020
Mountain Empire,42.1,512.8,7/5/2020
National City,739.0,1197.1,7/5/2020
North Central Region,1866.0,280.4,7/5/2020
North Coastal Region,1499.0,266.6,7/5/2020
North County,3314.0,283.3,7/5/2020
North Inland Region,1815.0,298.7,7/5/2020
North San Diego,247.0,204.3,7/5/2020
Oceanside,524.8,309.8,7/5/2020
Palomar-Julian,8.5,110.6,7/5/2020
Pauma,25.5,313.5,7/5/2020
Pendleton,6.0,13.8,7/5/2020
Peninsula,202.7,289.9,7/5/2020
Poway,172.1,190.7,7/5/2020
Ramona,95.2,270.6,7/5/2020
San Diego County,17000.0,509.4,7/5/2020
San Dieguito,251.9,247.8,7/5/2020
San Marcos,343.6,340.3,7/5/2020
Santee,147.6,271.9,7/5/2020
South Bay,1913.4,1422.1,7/5/2020
South Region,5124.0,1027.0,7/5/2020
Southeastern San Diego,1471.8,1011.0,7/5/2020
Spring Valley,574.5,683.7,7/5/2020
Supervisorial District 1,6407.0,1020.3,7/5/2020
Supervisorial District 2,3057.1,467.1,7/5/2020
Supervisorial District 3,1776.0,265.3,7/5/2020
Supervisorial District 4,3487.9,491.0,7/5/2020
Supervisorial District 5,1913.0,283.3,7/5/2020
Sweetwater,1087.7,725.8,7/5/2020
Unincorporated,2102.6,409.8,7/5/2020
University,108.2,149.2,7/5/2020
Valley Center,61.6,270.8,7/5/2020
Vista,396.0,366.4,7/5/2020
