Geography,Case,Rate,Date
Alpine,,,4/6/2020
Anza-Borrego Springs,,,4/6/2020
Carlsbad,43.58,34.7503,4/6/2020
Central Region,350,67.5948,4/6/2020
Central San Diego,175.79,84.0407,4/6/2020
Chula Vista,51.57,41.8981,4/6/2020
City of Carlsbad,42.74,37.2904,4/6/2020
City of Chula Vista,119.59,44.707,4/6/2020
City of Coronado,,,4/6/2020
City of Del Mar,,,4/6/2020
City of El Cajon,75.36,71.3967,4/6/2020
City of Encinitas,27.92,44.2076,4/6/2020
City of Escondido,34.26,22.6149,4/6/2020
City of Imperial Beach,7,24.8553,4/6/2020
City of La Mesa,23.92,39.0405,4/6/2020
City of Lemon Grove,14,52.1726,4/6/2020
City of National City,25.37,40.7522,4/6/2020
City of Oceanside,33.03,18.6255,4/6/2020
City of Poway,14.97,29.8122,4/6/2020
City of San Diego,749.24,52.769,4/6/2020
City of San Marcos,21.64,22.5988,4/6/2020
City of Santee,15.11,26.518,4/6/2020
City of Solana Beach,,,4/6/2020
City of Vista,23.12,22.3685,4/6/2020
Coastal,49.99,58.1635,4/6/2020
Coronado,,,4/6/2020
Del Mar-Mira Mesa,70.07,41.0085,4/6/2020
East Region,230,47.3732,4/6/2020
El Cajon,92.14,70.1081,4/6/2020
Elliott-Navajo,45.22,47.8104,4/6/2020
Escondido,41.17,23.7588,4/6/2020
Fallbrook,5.61,11.5563,4/6/2020
Harbison Crest,8.74,57.6917,4/6/2020
Harbison Crest-El Cajon,100.87,68.8249,4/6/2020
Jamul,7.54,38.493,4/6/2020
Kearny Mesa,77.63,45.4598,4/6/2020
La Mesa,24.4,38.5218,4/6/2020
Laguna-Pine Valley,,,4/6/2020
Lakeside,23,38.606,4/6/2020
Lemon Grove,15.98,51.897,4/6/2020
Mid-City,96.44,56.3623,4/6/2020
Miramar,,,4/6/2020
Mountain Empire,,,4/6/2020
National City,24.92,40.3735,4/6/2020
North Central Region,282,42.3821,4/6/2020
North Coastal Region,163,28.9897,4/6/2020
North County,329,28.1227,4/6/2020
North Inland Region,166,27.3203,4/6/2020
North San Diego,54.61,45.1588,4/6/2020
Oceanside,31.07,18.3379,4/6/2020
Palomar-Julian,,,4/6/2020
Pauma,,,4/6/2020
Pendleton,,,4/6/2020
Peninsula,19.57,27.9778,4/6/2020
Poway,25.74,28.5272,4/6/2020
Ramona,8.91,25.325,4/6/2020
San Diego County,1454,43.5661,4/6/2020
San Dieguito,49.21,48.4269,4/6/2020
San Marcos,21.52,21.3108,4/6/2020
Santee,14.83,27.3078,4/6/2020
South Bay,64.49,47.9269,4/6/2020
South Region,225,45.0985,4/6/2020
Southeastern San Diego,85.83,58.9624,4/6/2020
Spring Valley,42.03,50.0165,4/6/2020
Supervisorial District 1,297.71,47.4103,4/6/2020
Supervisorial District 2,291.75,44.573,4/6/2020
Supervisorial District 3,240.11,35.8639,4/6/2020
Supervisorial District 4,426.78,60.0838,4/6/2020
Supervisorial District 5,159.64,23.646,4/6/2020
Sweetwater,72.98,48.6962,4/6/2020
Unincorporated,175.76,34.254,4/6/2020
University,29.2,40.2728,4/6/2020
Valley Center,,,4/6/2020
Vista,23.44,21.687,4/6/2020
