Geography,"Allocated
Case
Count
(Raw)","COVID-19
Total Rate
(Suppressed)",Date
Alpine,73.4,454.2,8/7/2020
Anza-Borrego Springs,17.8,339.9,8/7/2020
Carlsbad,586.3,463.5,8/7/2020
Central Region,6862.0,1332.1,8/7/2020
Central San Diego,2264.2,1073.6,8/7/2020
Chula Vista,2187.8,1763.5,8/7/2020
City of Carlsbad,525.1,455.6,8/7/2020
City of Chula Vista,4133.6,1522.8,8/7/2020
City of Coronado,151.0,624.0,8/7/2020
City of Del Mar,18.5,417.3,8/7/2020
City of El Cajon,1428.6,1350.7,8/7/2020
City of Encinitas,265.3,418.6,8/7/2020
City of Escondido,1313.9,860.1,8/7/2020
City of Imperial Beach,414.0,1508.3,8/7/2020
City of La Mesa,495.0,814.3,8/7/2020
City of Lemon Grove,344.0,1264.3,8/7/2020
City of National City,1233.8,1982.9,8/7/2020
City of Oceanside,1114.9,626.4,8/7/2020
City of Poway,199.5,396.5,8/7/2020
City of San Diego,13916.9,979.7,8/7/2020
City of San Marcos,650.7,662.6,8/7/2020
City of Santee,315.2,539.8,8/7/2020
City of Solana Beach,46.0,330.2,8/7/2020
City of Vista,774.3,759.4,8/7/2020
Coastal,655.6,753.8,8/7/2020
Coronado,151.0,624.0,8/7/2020
Del Mar-Mira Mesa,752.4,440.0,8/7/2020
East Region,5122.0,1048.0,8/7/2020
El Cajon,1743.4,1317.5,8/7/2020
Elliott-Navajo,487.2,508.7,8/7/2020
Escondido,1450.4,827.5,8/7/2020
Fallbrook,351.2,708.5,8/7/2020
Harbison Crest,168.2,1109.9,8/7/2020
Harbison Crest-El Cajon,1911.6,1296.2,8/7/2020
Jamul,236.4,1247.0,8/7/2020
Kearny Mesa,1197.9,700.5,8/7/2020
La Mesa,510.3,810.9,8/7/2020
Laguna-Pine Valley,17.6,307.3,8/7/2020
Lakeside,459.1,762.9,8/7/2020
Lemon Grove,411.4,1327.7,8/7/2020
Mid-City,2053.7,1217.3,8/7/2020
Miramar,42.0,572.4,8/7/2020
Mountain Empire,71.6,869.8,8/7/2020
National City,1230.2,1993.0,8/7/2020
North Central Region,3723.0,556.5,8/7/2020
North Coastal Region,3062.0,546.2,8/7/2020
North County,6828.0,580.4,8/7/2020
North Inland Region,3766.0,611.6,8/7/2020
North San Diego,442.2,362.6,8/7/2020
Oceanside,1097.3,647.4,8/7/2020
Palomar-Julian,18.9,241.4,8/7/2020
Pauma,93.2,1104.1,8/7/2020
Pendleton,64.0,155.0,8/7/2020
Peninsula,401.8,566.7,8/7/2020
Poway,347.3,383.6,8/7/2020
Ramona,196.5,548.2,8/7/2020
San Diego County,32330.0,964.6,8/7/2020
San Dieguito,419.3,412.4,8/7/2020
San Marcos,717.8,694.5,8/7/2020
Santee,306.7,552.5,8/7/2020
South Bay,3366.9,2551.0,8/7/2020
South Region,9108.0,1812.4,8/7/2020
Southeastern San Diego,2655.9,1852.1,8/7/2020
Spring Valley,1166.4,1378.3,8/7/2020
Supervisorial District 1,11399.7,1813.7,8/7/2020
Supervisorial District 2,6089.8,925.4,8/7/2020
Supervisorial District 3,3457.7,512.9,8/7/2020
Supervisorial District 4,6596.0,925.1,8/7/2020
Supervisorial District 5,4099.8,604.6,8/7/2020
Sweetwater,2033.1,1328.0,8/7/2020
Unincorporated,4302.9,834.5,8/7/2020
University,209.9,289.3,8/7/2020
Valley Center,149.3,643.5,8/7/2020
Vista,837.9,781.1,8/7/2020
