Geography,"Allocated
Case Count (Raw)","COVID-19
Total Rate (Suppressed)",date
Alpine,12.02,74.774,6/9/2020
Anza-Borrego Springs,9.21,179.935,6/9/2020
Carlsbad,98.88,78.841,6/9/2020
Central Region,1928.00,372.351,6/9/2020
Central San Diego,661.65,316.318,6/9/2020
Chula Vista,724.47,588.539,6/9/2020
City of Carlsbad,86.80,75.727,6/9/2020
City of Chula Vista,1306.61,488.446,6/9/2020
City of Coronado,24.00,110.686,6/9/2020
City of Del Mar,6.90,159.582,6/9/2020
City of El Cajon,463.99,439.565,6/9/2020
City of Encinitas,68.96,109.189,6/9/2020
City of Escondido,285.48,188.466,6/9/2020
City of Imperial Beach,126.00,447.396,6/9/2020
City of La Mesa,135.97,221.952,6/9/2020
City of Lemon Grove,82.00,305.582,6/9/2020
City of National City,435.99,700.300,6/9/2020
City of Oceanside,216.25,121.924,6/9/2020
City of Poway,47.90,95.399,6/9/2020
City of San Diego,4031.05,283.908,6/9/2020
City of San Marcos,110.42,115.303,6/9/2020
City of Santee,67.74,118.853,6/9/2020
City of Solana Beach,12.48,89.519,6/9/2020
City of Vista,135.87,131.429,6/9/2020
Coastal,96.70,112.519,6/9/2020
Coronado,24.00,110.686,6/9/2020
Del Mar-Mira Mesa,189.71,111.024,6/9/2020
East Region,1422.00,292.890,6/9/2020
El Cajon,553.32,421.036,6/9/2020
Elliott-Navajo,130.08,137.531,6/9/2020
Escondido,313.31,180.820,6/9/2020
Fallbrook,39.89,82.106,6/9/2020
Harbison Crest,50.70,334.686,6/9/2020
Harbison Crest-El Cajon,604.02,412.111,6/9/2020
Jamul,66.83,341.085,6/9/2020
Kearny Mesa,295.40,172.990,6/9/2020
La Mesa,139.90,220.875,6/9/2020
Laguna-Pine Valley,,,6/9/2020
Lakeside,131.06,219.970,6/9/2020
Lemon Grove,102.72,333.577,6/9/2020
Mid-City,536.41,313.485,6/9/2020
Miramar,10.11,147.050,6/9/2020
Mountain Empire,21.60,262.826,6/9/2020
National City,434.93,704.517,6/9/2020
North Central Region,859.00,129.100,6/9/2020
North Coastal Region,585.00,104.043,6/9/2020
North County,1377.00,117.705,6/9/2020
North Inland Region,792.00,130.348,6/9/2020
North San Diego,140.42,116.122,6/9/2020
Oceanside,212.42,125.393,6/9/2020
Palomar-Julian,,,6/9/2020
Pauma,7.00,86.030,6/9/2020
Pendleton,,,6/9/2020
Peninsula,106.03,151.605,6/9/2020
Poway,78.69,87.198,6/9/2020
Ramona,47.71,135.643,6/9/2020
San Diego County,8837.00,264.783,6/9/2020
San Dieguito,107.54,105.820,6/9/2020
San Marcos,125.58,124.383,6/9/2020
Santee,68.16,125.546,6/9/2020
South Bay,1266.82,941.527,6/9/2020
South Region,3115.00,624.364,6/9/2020
Southeastern San Diego,762.06,523.481,6/9/2020
Spring Valley,299.54,356.443,6/9/2020
Supervisorial District 1,3745.80,596.512,6/9/2020
Supervisorial District 2,1668.38,254.888,6/9/2020
Supervisorial District 3,839.53,125.396,6/9/2020
Supervisorial District 4,1743.57,245.468,6/9/2020
Supervisorial District 5,703.72,104.233,6/9/2020
Sweetwater,609.34,406.584,6/9/2020
Unincorporated,1056.59,205.914,6/9/2020
University,48.73,67.220,6/9/2020
Valley Center,26.09,114.598,6/9/2020
Vista,142.50,131.851,6/9/2020
