Geography,"Allocated
API Case
Count
(Raw)","COVID-19
Total API
Rate
(Suppressed)",Date
Alpine,,,6/17/2020
Anza-Borrego Springs,,,6/17/2020
Carlsbad,7.0,68.2,6/17/2020
Central Region,136.0,226.5,6/17/2020
Central San Diego,28.3,189.4,6/17/2020
Chula Vista,34.3,332.6,6/17/2020
City of Carlsbad,6.1,64.2,6/17/2020
City of Chula Vista,109.1,305.3,6/17/2020
City of Coronado,,,6/17/2020
City of Del Mar,,,6/17/2020
City of El Cajon,20.3,419.7,6/17/2020
City of Encinitas,,,6/17/2020
City of Escondido,13.8,129.6,6/17/2020
City of Imperial Beach,,,6/17/2020
City of La Mesa,8.6,232.3,6/17/2020
City of Lemon Grove,,,6/17/2020
City of National City,32.0,302.5,6/17/2020
City of Oceanside,8.0,58.3,6/17/2020
City of Poway,12.0,195.5,6/17/2020
City of San Diego,298.0,133.0,6/17/2020
City of San Marcos,,,6/17/2020
City of Santee,12.0,434.5,6/17/2020
City of Solana Beach,,,6/17/2020
City of Vista,6.8,111.6,6/17/2020
Coastal,8.3,139.0,6/17/2020
Coronado,,,6/17/2020
Del Mar-Mira Mesa,47.6,86.7,6/17/2020
East Region,65.0,255.5,6/17/2020
El Cajon,24.6,416.9,6/17/2020
Elliott-Navajo,11.1,105.6,6/17/2020
Escondido,15.7,127.4,6/17/2020
Fallbrook,,,6/17/2020
Harbison Crest,,,6/17/2020
Harbison Crest-El Cajon,27.1,415.2,6/17/2020
Jamul,,,6/17/2020
Kearny Mesa,24.2,105.9,6/17/2020
La Mesa,8.7,227.6,6/17/2020
Laguna-Pine Valley,,,6/17/2020
Lakeside,,,6/17/2020
Lemon Grove,,,6/17/2020
Mid-City,30.3,137.5,6/17/2020
Miramar,,,6/17/2020
Mountain Empire,,,6/17/2020
National City,31.8,303.0,6/17/2020
North Central Region,102.0,85.2,6/17/2020
North Coastal Region,27.0,70.9,6/17/2020
North County,107.0,94.5,6/17/2020
North Inland Region,80.0,106.5,6/17/2020
North San Diego,36.5,117.6,6/17/2020
Oceanside,7.6,58.3,6/17/2020
Palomar-Julian,,,6/17/2020
Pauma,,,6/17/2020
Pendleton,,,6/17/2020
Peninsula,,,6/17/2020
Poway,17.5,109.5,6/17/2020
Ramona,,,6/17/2020
San Diego County,584.0,154.1,6/17/2020
San Dieguito,5.2,87.0,6/17/2020
San Marcos,,,6/17/2020
Santee,11.0,420.5,6/17/2020
South Bay,24.1,211.7,6/17/2020
South Region,174.0,287.6,6/17/2020
Southeastern San Diego,78.1,331.3,6/17/2020
Spring Valley,10.5,172.4,6/17/2020
Supervisorial District 1,209.7,283.9,6/17/2020
Supervisorial District 2,88.8,217.8,6/17/2020
Supervisorial District 3,120.9,89.7,6/17/2020
Supervisorial District 4,134.2,166.4,6/17/2020
Supervisorial District 5,30.3,62.2,6/17/2020
Sweetwater,77.4,298.1,6/17/2020
Unincorporated,46.7,141.4,6/17/2020
University,7.7,37.7,6/17/2020
Valley Center,,,6/17/2020
Vista,6.9,114.3,6/17/2020
