Geography,"Allocated
API Case
Count
(Raw)","COVID-19
Total API
Rate
(Suppressed)",Date
Alpine,,,7/8/2020
Anza-Borrego Springs,,,7/8/2020
Carlsbad,12.2,119.7,7/8/2020
Central Region,252.0,419.7,7/8/2020
Central San Diego,47.9,320.3,7/8/2020
Chula Vista,51.9,503.7,7/8/2020
City of Carlsbad,9.1,96.1,7/8/2020
City of Chula Vista,164.6,460.8,7/8/2020
City of Coronado,,,7/8/2020
City of Del Mar,,,7/8/2020
City of El Cajon,29.5,610.2,7/8/2020
City of Encinitas,,,7/8/2020
City of Escondido,28.5,267.6,7/8/2020
City of Imperial Beach,5.0,217.8,7/8/2020
City of La Mesa,10.2,275.9,7/8/2020
City of Lemon Grove,,,7/8/2020
City of National City,49.4,467.5,7/8/2020
City of Oceanside,23.0,167.6,7/8/2020
City of Poway,15.0,244.4,7/8/2020
City of San Diego,508.6,227.1,7/8/2020
City of San Marcos,14.3,160.5,7/8/2020
City of Santee,13.0,470.9,7/8/2020
City of Solana Beach,,,7/8/2020
City of Vista,9.6,157.1,7/8/2020
Coastal,16.5,277.6,7/8/2020
Coronado,,,7/8/2020
Del Mar-Mira Mesa,81.6,148.5,7/8/2020
East Region,88.0,345.9,7/8/2020
El Cajon,35.0,591.9,7/8/2020
Elliott-Navajo,14.5,137.1,7/8/2020
Escondido,32.3,262.3,7/8/2020
Fallbrook,,,7/8/2020
Harbison Crest,,,7/8/2020
Harbison Crest-El Cajon,38.0,582.9,7/8/2020
Jamul,,,7/8/2020
Kearny Mesa,43.4,189.7,7/8/2020
La Mesa,10.3,271.5,7/8/2020
Laguna-Pine Valley,,,7/8/2020
Lakeside,5.7,237.7,7/8/2020
Lemon Grove,8.4,348.8,7/8/2020
Mid-City,70.4,319.6,7/8/2020
Miramar,5.1,201.7,7/8/2020
Mountain Empire,,,7/8/2020
National City,49.2,468.3,7/8/2020
North Central Region,169.0,141.2,7/8/2020
North Coastal Region,51.0,133.9,7/8/2020
North County,176.0,155.5,7/8/2020
North Inland Region,125.0,166.4,7/8/2020
North San Diego,44.6,143.9,7/8/2020
Oceanside,20.3,156.6,7/8/2020
Palomar-Julian,,,7/8/2020
Pauma,,,7/8/2020
Pendleton,,,7/8/2020
Peninsula,,,7/8/2020
Poway,23.0,144.2,7/8/2020
Ramona,,,7/8/2020
San Diego County,958.0,252.9,7/8/2020
San Dieguito,7.5,124.3,7/8/2020
San Marcos,15.0,159.5,7/8/2020
Santee,12.1,460.6,7/8/2020
South Bay,46.4,407.6,7/8/2020
South Region,273.0,451.2,7/8/2020
Southeastern San Diego,134.2,569.1,7/8/2020
Spring Valley,13.8,228.0,7/8/2020
Supervisorial District 1,338.0,457.6,7/8/2020
Supervisorial District 2,123.4,302.4,7/8/2020
Supervisorial District 3,188.4,139.8,7/8/2020
Supervisorial District 4,242.4,300.5,7/8/2020
Supervisorial District 5,65.8,135.0,7/8/2020
Sweetwater,116.3,448.0,7/8/2020
Unincorporated,65.9,199.8,7/8/2020
University,10.4,51.0,7/8/2020
Valley Center,,,7/8/2020
Vista,9.7,160.1,7/8/2020
