Geography,"Allocated
Black Case Count (Raw)","COVID-19
Total Black
Rate (Suppressed)",date
Alpine,,,6/10/2020
Anza-Borrego Springs,,,6/10/2020
Carlsbad,,,6/10/2020
Central Region,105.000,211.119,6/10/2020
Central San Diego,35.367,247.758,6/10/2020
Chula Vista,,,6/10/2020
City of Carlsbad,,,6/10/2020
City of Chula Vista,18.590,169.865,6/10/2020
City of Coronado,,,6/10/2020
City of Del Mar,,,6/10/2020
City of El Cajon,17.913,363.727,6/10/2020
City of Encinitas,,,6/10/2020
City of Escondido,5.531,165.588,6/10/2020
City of Imperial Beach,,,6/10/2020
City of La Mesa,5.077,164.134,6/10/2020
City of Lemon Grove,,,6/10/2020
City of National City,9.137,314.262,6/10/2020
City of Oceanside,6.008,73.380,6/10/2020
City of Poway,,,6/10/2020
City of San Diego,153.645,194.961,6/10/2020
City of San Marcos,,,6/10/2020
City of Santee,,,6/10/2020
City of Solana Beach,,,6/10/2020
City of Vista,,,6/10/2020
Coastal,,,6/10/2020
Coronado,,,6/10/2020
Del Mar-Mira Mesa,10.747,187.209,6/10/2020
East Region,48.000,196.996,6/10/2020
El Cajon,20.412,341.425,6/10/2020
Elliott-Navajo,11.062,281.541,6/10/2020
Escondido,6.560,169.276,6/10/2020
Fallbrook,,,6/10/2020
Harbison Crest,,,6/10/2020
Harbison Crest-El Cajon,21.653,332.371,6/10/2020
Jamul,,,6/10/2020
Kearny Mesa,7.594,106.357,6/10/2020
La Mesa,5.380,166.399,6/10/2020
Laguna-Pine Valley,,,6/10/2020
Lakeside,5.084,328.080,6/10/2020
Lemon Grove,,,6/10/2020
Mid-City,29.381,175.636,6/10/2020
Miramar,,,6/10/2020
Mountain Empire,,,6/10/2020
National City,9.082,314.290,6/10/2020
North Central Region,36.000,163.169,6/10/2020
North Coastal Region,11.000,61.916,6/10/2020
North County,24.000,77.094,6/10/2020
North Inland Region,13.000,97.269,6/10/2020
North San Diego,,,6/10/2020
Oceanside,6.170,79.686,6/10/2020
Palomar-Julian,,,6/10/2020
Pauma,,,6/10/2020
Pendleton,,,6/10/2020
Peninsula,,,6/10/2020
Poway,,,6/10/2020
Ramona,,,6/10/2020
San Diego County,254.000,171.950,6/10/2020
San Dieguito,,,6/10/2020
San Marcos,,,6/10/2020
Santee,,,6/10/2020
South Bay,9.626,166.530,6/10/2020
South Region,41.000,200.764,6/10/2020
Southeastern San Diego,40.513,219.878,6/10/2020
Spring Valley,10.230,140.650,6/10/2020
Supervisorial District 1,67.981,206.148,6/10/2020
Supervisorial District 2,62.923,208.857,6/10/2020
Supervisorial District 3,26.467,148.141,6/10/2020
Supervisorial District 4,84.937,188.805,6/10/2020
Supervisorial District 5,11.692,53.733,6/10/2020
Sweetwater,15.194,208.951,6/10/2020
Unincorporated,26.661,124.200,6/10/2020
University,,,6/10/2020
Valley Center,,,6/10/2020
Vista,,,6/10/2020
