Geography,"Allocated
Black
Case
Count
(Raw)","COVID-19
Total Black
Rate
(Suppressed)",Date
Alpine,,,6/17/2020
Anza-Borrego Springs,,,6/17/2020
Carlsbad,,,6/17/2020
Central Region,123.0,247.3,6/17/2020
Central San Diego,41.3,289.3,6/17/2020
Chula Vista,,,6/17/2020
City of Carlsbad,,,6/17/2020
City of Chula Vista,19.6,179.0,6/17/2020
City of Coronado,,,6/17/2020
City of Del Mar,,,6/17/2020
City of El Cajon,19.2,390.1,6/17/2020
City of Encinitas,,,6/17/2020
City of Escondido,7.2,214.5,6/17/2020
City of Imperial Beach,,,6/17/2020
City of La Mesa,6.7,216.3,6/17/2020
City of Lemon Grove,,,6/17/2020
City of National City,10.9,374.6,6/17/2020
City of Oceanside,7.0,85.6,6/17/2020
City of Poway,,,6/17/2020
City of San Diego,175.9,223.1,6/17/2020
City of San Marcos,,,6/17/2020
City of Santee,,,6/17/2020
City of Solana Beach,,,6/17/2020
City of Vista,,,6/17/2020
Coastal,,,6/17/2020
Coronado,,,6/17/2020
Del Mar-Mira Mesa,12.6,219.3,6/17/2020
East Region,54.0,221.6,6/17/2020
El Cajon,22.3,373.8,6/17/2020
Elliott-Navajo,11.1,281.5,6/17/2020
Escondido,8.2,211.9,6/17/2020
Fallbrook,,,6/17/2020
Harbison Crest,,,6/17/2020
Harbison Crest-El Cajon,24.0,369.1,6/17/2020
Jamul,,,6/17/2020
Kearny Mesa,9.1,127.8,6/17/2020
La Mesa,7.1,218.2,6/17/2020
Laguna-Pine Valley,,,6/17/2020
Lakeside,5.7,369.2,6/17/2020
Lemon Grove,,,6/17/2020
Mid-City,36.6,218.6,6/17/2020
Miramar,,,6/17/2020
Mountain Empire,,,6/17/2020
National City,10.8,375.0,6/17/2020
North Central Region,40.0,181.3,6/17/2020
North Coastal Region,14.0,78.8,6/17/2020
North County,29.0,93.2,6/17/2020
North Inland Region,15.0,112.2,6/17/2020
North San Diego,,,6/17/2020
Oceanside,7.2,93.0,6/17/2020
Palomar-Julian,,,6/17/2020
Pauma,,,6/17/2020
Pendleton,,,6/17/2020
Peninsula,,,6/17/2020
Poway,,,6/17/2020
Ramona,,,6/17/2020
San Diego County,292.0,197.7,6/17/2020
San Dieguito,,,6/17/2020
San Marcos,,,6/17/2020
Santee,,,6/17/2020
South Bay,11.6,201.2,6/17/2020
South Region,46.0,225.2,6/17/2020
Southeastern San Diego,44.6,242.2,6/17/2020
Spring Valley,11.4,156.3,6/17/2020
Supervisorial District 1,78.6,238.2,6/17/2020
Supervisorial District 2,69.3,230.1,6/17/2020
Supervisorial District 3,30.2,169.1,6/17/2020
Supervisorial District 4,99.0,220.0,6/17/2020
Supervisorial District 5,14.9,68.7,6/17/2020
Sweetwater,15.4,212.4,6/17/2020
Unincorporated,30.7,142.8,6/17/2020
University,,,6/17/2020
Valley Center,,,6/17/2020
Vista,5.4,166.0,6/17/2020
