Geography,"Allocated
Hispanic
Case
Count
(Raw)","COVID-19
Total
Hispanic
Rate
(Suppressed)",Date
Alpine,6.4,239.2,7/1/2020
Anza-Borrego Springs,5.0,526.9,7/1/2020
Carlsbad,61.0,253.4,7/1/2020
Central Region,1860.0,845.3,7/1/2020
Central San Diego,525.1,696.7,7/1/2020
Chula Vista,841.5,1004.7,7/1/2020
City of Carlsbad,42.9,221.8,7/1/2020
City of Chula Vista,1389.8,853.4,7/1/2020
City of Coronado,7.0,202.0,7/1/2020
City of Del Mar,,,7/1/2020
City of El Cajon,226.1,722.4,7/1/2020
City of Encinitas,35.4,346.8,7/1/2020
City of Escondido,322.6,466.7,7/1/2020
City of Imperial Beach,128.0,873.9,7/1/2020
City of La Mesa,62.3,349.7,7/1/2020
City of Lemon Grove,87.0,692.3,7/1/2020
City of National City,424.6,1099.3,7/1/2020
City of Oceanside,210.4,337.1,7/1/2020
City of Poway,20.0,196.3,7/1/2020
City of San Diego,3255.1,747.1,7/1/2020
City of San Marcos,119.6,327.8,7/1/2020
City of Santee,39.4,316.7,7/1/2020
City of Solana Beach,,,7/1/2020
City of Vista,175.8,381.5,7/1/2020
Coastal,29.3,217.7,7/1/2020
Coronado,7.0,202.0,7/1/2020
Del Mar-Mira Mesa,62.0,267.1,7/1/2020
East Region,975.0,650.5,7/1/2020
El Cajon,273.3,695.9,7/1/2020
Elliott-Navajo,48.0,256.5,7/1/2020
Escondido,350.8,456.3,7/1/2020
Fallbrook,57.5,325.3,7/1/2020
Harbison Crest,29.4,632.6,7/1/2020
Harbison Crest-El Cajon,302.7,689.2,7/1/2020
Jamul,58.4,755.3,7/1/2020
Kearny Mesa,153.5,338.6,7/1/2020
La Mesa,65.1,353.6,7/1/2020
Laguna-Pine Valley,,,7/1/2020
Lakeside,85.6,572.3,7/1/2020
Lemon Grove,106.4,739.7,7/1/2020
Mid-City,558.7,780.1,7/1/2020
Miramar,,,7/1/2020
Mountain Empire,28.1,825.5,7/1/2020
National City,424.1,1105.1,7/1/2020
North Central Region,351.0,284.2,7/1/2020
North Coastal Region,509.0,311.3,7/1/2020
North County,1200.0,342.1,7/1/2020
North Inland Region,691.0,369.0,7/1/2020
North San Diego,32.2,198.9,7/1/2020
Oceanside,208.9,339.2,7/1/2020
Palomar-Julian,,,7/1/2020
Pauma,9.2,334.7,7/1/2020
Pendleton,,,7/1/2020
Peninsula,34.5,270.7,7/1/2020
Poway,32.4,212.2,7/1/2020
Ramona,37.9,398.2,7/1/2020
San Diego County,7444.0,646.9,7/1/2020
San Dieguito,49.4,308.9,7/1/2020
San Marcos,138.0,345.6,7/1/2020
Santee,39.6,332.8,7/1/2020
South Bay,1169.4,1264.9,7/1/2020
South Region,3058.0,997.4,7/1/2020
Southeastern San Diego,807.5,1038.2,7/1/2020
Spring Valley,293.7,886.5,7/1/2020
Supervisorial District 1,3802.5,1010.9,7/1/2020
Supervisorial District 2,1131.0,595.2,7/1/2020
Supervisorial District 3,526.5,359.3,7/1/2020
Supervisorial District 4,1271.6,589.1,7/1/2020
Supervisorial District 5,712.3,320.6,7/1/2020
Sweetwater,573.9,696.2,7/1/2020
Unincorporated,893.7,540.7,7/1/2020
University,19.0,203.5,7/1/2020
Valley Center,30.4,436.0,7/1/2020
Vista,185.8,377.7,7/1/2020
